"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Employment.Private Non-farm Employment","Employment.Private Non-farm Employment Percent Change","Employment.Private Non-farm Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone, not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Housing.Units in Multi-Unit Structures","Income.Median Houseold Income","Income.Per Capita Income","Income.Persons Below Poverty Level","Miscellaneous.Building Permits","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2010 Population","Population.2014 Population","Population.Population Percent Change","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Merchant Wholesaler Sales","Sales.Retail Sales","Sales.Retail Sales per Capita","Employment.Firms.American Indian-Owned","Employment.Firms.Asian-Owned","Employment.Firms.Black-Owned","Employment.Firms.Hispanic-Owned","Employment.Firms.Native Hawaiian and Other Pacific Islander-Owned","Employment.Firms.Total","Employment.Firms.Women-Owned"
"Cumberland County","ME","16.4","19.6","4.9","41.0","93.7","26119","158929","0.5","10902","0.3","2.2","2.9","1.9","0.0","1.8","92.7","91.0","68.2","117359","140279","241800","2.34","26.1","57461","32880","11.4","906","5.8","835.24","7.9","84.1","0","22.3","51.4","22138","281674","287797","2.2","337.2","7349","34279","52771","19119","0.6","1.1","0.0","0.6","0.0","34968","29.0"
"Franklin County","ME","19.2","18.7","4.6","23.7","91.5","2389","9064","-0.3","821","0.4","0.7","0.5","1.2","0.0","1.3","97.0","95.9","77.6","12098","21935","132400","2.44","12.6","41626","22083","15.6","58","2.1","1696.61","3.0","89.5","8235","23.5","51.0","2908","30768","30296","-1.5","18.1","430","0","3812","12807","0.0","0.0","0.0","0.0","0.0","3271","26.7"
"Hancock County","ME","21.5","17.4","4.3","33.0","92.5","7451","16236","-2.7","2191","0.5","1.1","0.7","1.3","0.0","1.3","96.3","95.2","74.2","24355","40474","198300","2.17","8.5","47460","27797","14.0","183","3.0","1586.89","3.0","88.5","5990","22.8","51.2","5513","54418","54696","0.5","34.3","1674","2566","8199","15363","0.5","0.6","0.0","0.0","0.0","8513","24.1"
"Kennebec County","ME","17.7","19.9","5.0","24.6","91.4","8198","45311","3.4","3219","0.5","0.9","0.7","1.5","0.0","1.7","96.2","94.9","70.6","51719","61493","152800","2.29","21.2","46808","25770","13.4","344","2.3","867.52","5.7","85.9","5841","23.1","51.3","11991","122151","121112","-0.9","140.8","1985","11956","23823","19729","0.0","0.8","0.0","0.9","0.0","12364","26.0"
"Knox County","ME","22.4","18.4","4.5","30.4","92.8","5681","13515","0.1","1701","0.4","0.6","0.7","1.2","0.0","1.4","97.0","95.9","78.9","16941","23940","195700","2.28","11.9","49755","27865","10.8","101","2.7","365.13","2.7","89.4","3869","18.7","50.6","4258","39736","39676","-0.2","108.8","901","1779","6401","15659","0.0","0.5","0.0","0.0","0.0","7104","18.6"
"Lincoln County","ME","25.3","17.6","4.1","33.1","93.0","4587","8512","0.8","1394","0.4","0.8","0.5","1.0","0.0","1.2","97.1","96.3","83.5","14817","23668","208000","2.28","6.1","50181","28070","11.7","56","2.4","455.82","3.8","91.3","1226","25.2","51.0","3669","34457","34170","-0.8","75.6","720","657","4332","12412","0.0","0.0","0.0","0.8","0.0","6598","22.4"
"Oxford County","ME","19.3","19.6","4.5","18.9","89.7","4268","14320","3.6","1287","0.4","0.7","0.4","1.2","0.1","1.6","96.8","95.8","78.6","22890","36280","137200","2.47","14.9","40674","21441","14.9","164","2.0","2076.84","3.0","88.2","8658","26.8","50.4","5841","57833","57238","-1.0","27.8","926","1882","4894","8647","0.0","0.0","0.0","0.0","0.0","6099","21.6"
"Penobscot County","ME","16.5","18.7","4.8","23.8","90.7","9215","57343","-1.0","4104","1.2","1.1","0.9","1.3","0.0","1.6","95.1","94.1","66.9","62608","74282","137700","2.34","22.9","43734","23895","17.0","231","2.7","3397.36","4.7","84.0","10885","22.0","50.6","14626","153923","153414","-0.3","45.3","2241","0","29839","20080","0.6","1.0","0.3","0.9","0.0","14132","24.0"
"Piscataquis County","ME","23.6","17.7","4.2","16.4","87.8","1179","4304","-6.6","439","0.6","0.8","0.6","1.4","0.0","1.3","96.7","95.6","76.9","7769","15393","105000","2.2","8.5","36646","21818","18.5","20","1.3","3960.86","3.0","91.3","1193","24.9","50.2","2060","17535","17026","-2.9","4.4","135","0","1965","11440","0.0","0.0","0.0","0.0","0.0","1957","23.0"
"Sagadahoc County","ME","19.5","19.5","4.7","32.3","93.4","3109","12658","-2.8","903","0.4","0.9","0.8","1.5","0.0","1.7","96.2","94.9","76.1","15022","18414","189700","2.32","15.0","56733","28829","11.1","97","2.2","253.7","4.3","88.0","0","23.4","51.5","4046","35293","35045","-0.7","139.1","515","1138","4155","11359","0.0","0.0","0.0","0.0","0.0","4666","24.8"
"Somerset County","ME","18.9","19.8","4.7","15.4","87.3","3294","13570","0.7","1172","0.5","0.7","0.5","1.0","0.0","1.4","96.8","96.0","78.7","21692","30747","111100","2.36","10.0","38642","21513","17.8","37","1.7","3924.4","3.5","89.0","15668","25.0","50.4","5385","52228","51163","-2.0","13.3","449","766","5772","11211","0.0","0.0","0.0","0.0","0.0","4351","20.0"
"Waldo County","ME","19.7","19.7","5.0","28.2","91.2","3756","8423","-0.7","956","0.5","0.6","0.5","1.1","0.1","1.4","96.9","96.0","78.5","16448","21772","156000","2.32","9.5","42221","22853","16.4","76","2.0","729.92","3.0","88.5","2103","26.5","51.0","4219","38786","39051","0.7","53.1","375","5222","3403","8857","0.0","0.0","0.0","0.0","0.0","5089","29.7"
"Washington County","ME","22.0","18.9","4.9","20.0","87.2","3649","7039","-3.9","836","5.2","0.6","0.7","1.8","0.0","1.9","91.7","90.3","76.8","14209","23063","103500","2.2","7.7","37236","20807","19.5","41","3.6","2562.66","5.3","87.3","4441","19.1","50.7","3639","32856","31808","-3.2","12.8","247","790","4051","12360","0.8","0.0","0.0","0.6","0.0","4460","21.5"
"York County","ME","18.0","19.9","4.8","28.8","91.9","16248","50703","-1.5","5440","0.3","1.3","0.7","1.7","0.0","1.5","96.1","94.8","73.0","81293","107280","227800","2.41","21.8","57348","29125","9.5","693","3.1","990.71","7.1","87.4","29043","27.2","51.3","19167","197131","200710","1.8","199.0","4990","7041","22913","11389","0.0","0.0","0.0","0.5","0.0","23144","27.0"
"Allegany County","MD","19.2","17.6","4.8","16.8","87.3","3087","24448","1.1","1613","0.2","1.0","8.2","1.6","0.1","1.8","88.8","87.4","69.8","28433","33222","121300","2.34","19.0","39293","21211","17.4","25","2.1","424.16","4.7","86.5","0","21.5","47.8","6754","75087","72952","-2.8","177.0","1247","0","8651","11907","0.0","0.6","0.0","0.0","0.0","5071","26.9"
"Anne Arundel County","MD","13.4","22.6","6.3","37.1","90.7","39029","220926","4.2","13750","0.4","3.9","16.6","7.2","0.1","2.9","76.1","70.2","74.2","199904","218903","340000","2.65","17.7","87430","40415","6.3","2441","8.1","414.9","10.6","86.9","36101","29.8","50.5","54387","537656","560133","4.2","1295.9","12880","69221","94649","18491","0.4","4.6","9.0","3.2","0.0","49600","31.4"
"Baltimore County","MD","15.8","21.6","6.0","35.7","89.9","62218","310635","-0.5","19782","0.4","5.9","27.8","5.0","0.1","2.3","63.5","59.6","66.5","313912","336992","253300","2.52","27.9","66486","34374","8.9","1004","11.1","598.3","13.1","88.0","92471","28.8","52.7","58028","805029","826925","2.7","1345.5","14141","56093","120748","15341","0.3","6.1","17.3","2.2","0.1","76111","30.7"
"Calvert County","MD","13.0","24.2","5.5","30.0","92.9","6181","17437","-4.8","1688","0.4","1.7","13.2","3.5","0.1","2.8","81.8","79.0","81.4","30923","34597","357000","2.87","6.4","95477","38260","4.9","213","3.1","213.15","4.4","89.9","0","39.8","50.6","8561","88737","90613","2.1","416.3","1107","436","7306","8291","0.0","0.0","13.0","0.0","0.0","7554","33.4"
"Caroline County","MD","15.4","24.0","6.0","15.0","82.7","2508","6977","6.6","585","0.8","1.0","14.3","6.4","0.4","2.0","81.5","77.0","72.3","11806","13514","212800","2.73","9.7","58632","25211","14.4","35","4.0","319.42","6.0","90.1","3289","33.9","51.2","2878","33066","32538","-1.6","103.5","188","1297","4069","12341","0.0","0.0","0.0","0.0","0.0","2942","31.7"
"Carroll County","MD","15.3","22.5","4.9","32.7","91.5","11771","49243","1.1","4255","0.2","1.7","3.6","3.0","0.0","1.6","92.8","90.2","82.2","59909","63150","325900","2.73","11.5","84790","36153","5.6","355","3.5","447.6","4.9","93.4","10951","34.8","50.6","13155","167134","167830","0.4","373.4","2038","5561","21417","12645","0.5","1.6","2.1","2.2","0.0","15984","27.2"
"Cecil County","MD","13.8","23.6","5.8","22.2","87.5","5613","25767","0.8","1784","0.4","1.3","6.8","4.1","0.1","2.2","89.3","85.9","74.1","36394","42374","254800","2.74","14.4","66689","29518","10.4","278","3.1","346.27","6.1","87.5","13010","29.5","50.3","8512","101108","102383","1.3","292.0","1333","0","10996","11063","0.0","2.1","0.0","0.0","0.0","7583","0.0"
"Charles County","MD","11.0","24.9","6.0","26.7","91.2","9636","32448","-0.5","2622","0.8","3.3","43.8","5.3","0.1","3.8","48.2","44.5","79.4","51247","58154","297900","2.88","9.2","93160","37277","7.0","790","5.6","457.75","7.2","90.2","1579","42.8","51.8","15764","146551","154747","5.6","320.2","2316","0","23698","16846","0.0","4.7","29.3","2.2","0.0","11011","30.3"
"Dorchester County","MD","19.7","21.4","6.2","18.0","83.2","2384","8789","-6.1","717","0.5","1.1","28.3","4.6","0.0","2.0","68.0","64.5","65.9","13386","16702","191100","2.39","16.8","46361","26388","16.5","27","3.9","540.77","5.3","89.0","9919","24.5","52.5","3298","32618","32578","-0.1","60.3","818","0","3185","10030","0.0","0.0","0.0","0.0","0.0","2942","30.5"
"Frederick County","MD","12.9","23.9","6.0","38.2","91.8","17140","83799","1.1","5955","0.5","4.5","9.4","8.4","0.1","2.7","82.8","75.7","75.3","86337","93572","307000","2.69","16.7","84570","36917","6.1","1311","9.6","660.22","12.3","88.0","30036","34.6","50.7","17508","233385","243675","4.4","353.5","3564","12521","30662","13629","0.0","3.3","5.9","3.6","0.0","21430","31.1"
"Garrett County","MD","20.0","19.8","4.9","18.3","86.8","2394","11070","0.0","906","0.2","0.5","1.1","1.0","0.0","0.8","97.5","96.6","75.5","11974","19055","168600","2.45","10.1","45206","24932","13.9","85","1.4","647.1","4.6","91.0","1432","22.8","50.3","2287","30097","29679","-1.4","46.5","472","0","4313","14550","0.0","0.0","0.0","0.0","0.0","3478","23.5"
"Harford County","MD","14.6","23.0","5.5","32.7","92.4","15918","69217","1.9","5319","0.3","3.0","13.4","4.2","0.1","2.5","80.7","77.4","80.2","90708","98234","281800","2.7","15.1","80622","35425","7.4","860","4.9","437.09","7.2","90.7","20160","31.8","51.0","21099","244826","250105","2.2","560.1","3618","18713","33802","14066","0.0","3.7","9.2","0.0","0.0","20260","34.3"
"Howard County","MD","12.2","24.6","6.0","60.0","94.9","24634","165518","5.3","8946","0.4","16.9","18.6","6.4","0.1","3.6","60.4","55.4","73.9","106142","115311","428100","2.74","24.7","109865","48172","4.6","1446","18.2","250.74","22.5","88.9","23683","30.6","51.0","18971","287085","309284","7.7","1144.9","5656","71708","45549","16622","0.6","13.5","14.9","2.6","0.0","30899","30.1"
"Kent County","MD","24.4","17.0","4.5","29.6","86.7","1808","7070","-0.6","636","0.3","1.0","15.1","4.3","0.1","1.7","81.8","78.5","71.4","7498","10662","258200","2.46","12.8","56259","31502","13.2","54","3.9","277.03","5.6","88.9","2901","26.9","52.1","1872","20197","19820","-1.9","72.9","360","0","1970","9917","0.0","0.0","0.0","0.0","0.0","2694","25.5"
"Montgomery County","MD","13.7","23.5","6.5","57.1","91.2","103731","419956","1.5","26739","0.7","15.2","18.8","18.7","0.1","3.2","62.0","46.0","67.3","360563","385721","446300","2.72","33.2","98221","49038","6.7","3839","32.2","491.25","39.1","85.8","32641","34.2","51.8","48402","971777","1030447","6.0","1978.2","18727","74266","132557","14080","0.7","12.1","12.4","10.0","0.1","115471","32.4"
"Prince George's County","MD","11.2","22.7","6.7","29.8","85.5","71062","243260","1.1","14281","1.0","4.6","64.7","16.9","0.2","2.6","26.9","14.2","62.5","303441","330516","269800","2.81","32.5","73623","32344","9.4","1292","20.2","482.69","20.8","84.9","25046","35.8","51.8","61842","863420","904430","4.7","1788.8","12050","104498","92096","11060","0.9","6.2","54.5","8.8","0.1","72759","37.8"
"Queen Anne's County","MD","17.3","22.3","5.3","33.2","91.7","4621","11508","3.8","1348","0.4","1.1","6.9","3.4","0.0","1.7","89.8","86.9","84.5","17292","20765","348100","2.75","6.4","87256","38108","8.1","173","3.3","371.91","5.6","90.2","2387","33.9","50.3","4180","47798","48804","2.1","128.5","1030","2129","6182","13203","0.0","0.0","0.0","0.0","0.0","5701","31.3"
"St. Mary's County","MD","12.0","24.9","6.6","29.5","90.3","6594","28844","-5.2","1928","0.4","2.8","14.5","4.7","0.1","3.1","79.1","75.3","72.9","37589","43252","304700","2.77","13.0","85672","36017","7.2","457","3.9","357.18","6.6","87.2","0","28.9","50.2","12902","105151","110382","5.0","294.4","1322","0","11930","11883","0.6","3.3","7.4","1.1","0.0","7383","37.4"
"Somerset County","MD","15.3","16.7","5.2","14.2","79.6","1447","3518","-0.1","366","0.4","1.0","42.8","3.7","0.1","2.1","53.6","51.0","68.1","8419","11168","153600","2.29","15.3","38447","16748","23.4","140","3.2","319.72","5.5","82.3","0","23.2","45.8","2083","26470","25859","-2.3","82.8","98","0","1051","4011","0.0","0.0","11.9","0.0","0.0","2099","20.7"
"Talbot County","MD","26.6","18.6","4.6","33.3","89.0","4246","17139","-3.3","1467","0.3","1.5","13.2","6.3","0.2","1.5","83.3","78.1","72.5","16013","20230","327400","2.33","13.6","61597","38022","8.6","43","5.2","268.54","7.9","89.3","0","25.8","52.6","4164","37782","37643","-0.4","140.7","1049","2526","7118","19732","0.0","0.0","0.0","0.0","0.0","5247","24.6"
"Washington County","MD","15.8","22.3","5.8","19.5","85.8","8180","58628","1.7","3426","0.3","1.7","10.9","4.3","0.1","2.6","84.4","81.0","64.9","55960","61206","206100","2.51","19.4","55609","26532","12.4","274","4.8","457.78","7.0","84.6","24486","28.1","49.0","12218","147430","149573","1.5","322.1","2296","12652","24632","16988","0.0","2.1","3.9","0.0","0.0","11240","26.0"
"Wicomico County","MD","14.4","21.9","5.9","26.3","85.5","5987","36976","0.2","2530","0.5","3.0","25.2","5.2","0.1","2.4","68.7","64.8","63.0","36405","42146","181900","2.63","19.5","51092","25378","17.0","168","8.3","374.44","10.7","81.0","0","21.9","52.2","7490","98733","101539","2.8","263.7","1848","0","17808","19078","0.0","0.0","9.0","2.0","0.0","8539","23.0"
"Worcester County","MD","25.3","17.9","4.5","27.6","89.3","4878","17295","2.5","2109","0.4","1.4","13.7","3.5","0.0","1.8","82.7","79.8","78.4","20530","55764","253400","2.47","46.8","57952","32887","10.9","200","5.1","468.28","6.7","89.4","1546","21.9","51.4","5267","51454","51675","0.4","109.9","5068","0","8751","17779","0.0","0.0","0.0","0.0","0.0","7514","0.0"
"Baltimore city","MD","12.3","21.2","6.7","26.8","80.2","41444","284084","0.2","12280","0.4","2.7","63.1","4.7","0.1","2.0","31.6","28.2","48.3","241455","296984","157900","2.47","32.4","41385","24750","23.8","821","7.4","80.94","8.8","82.6","57308","30.1","52.9","35446","620961","622793","0.3","7671.5","14346","48434","43487","6793","0.0","5.9","34.6","2.1","0.0","42272","37.0"
"Barnstable County","MA","27.8","15.9","3.9","39.1","94.5","24948","71779","3.0","8323","0.7","1.4","2.5","2.7","0.1","1.8","93.5","91.4","79.0","95398","161718","366700","2.21","14.5","60526","36142","9.3","640","6.8","393.72","8.1","91.4","5332","24.6","52.4","21360","215888","214914","-0.5","548.3","8909","0","39732","17878","0.5","1.5","1.2","0.0","0.0","32205","28.3"
"Berkshire County","MA","20.9","17.9","4.4","30.3","90.6","10054","53041","-1.2","3928","0.3","1.4","3.1","4.1","0.0","2.2","92.9","89.6","68.4","55301","68354","206600","2.24","29.6","48450","29294","12.8","177","4.9","926.83","7.5","87.7","14255","20.4","51.6","10389","131219","128715","-1.9","141.6","4019","0","19017","14605","0.0","2.2","0.4","0.7","0.0","12647","26.8"
"Bristol County","MA","15.7","21.1","5.2","25.3","81.9","30906","193082","-1.7","12730","0.6","2.2","4.7","6.9","0.1","2.0","90.4","85.1","63.1","210037","231286","278100","2.54","42.0","55298","28837","12.4","823","11.9","553.1","20.6","88.9","88781","27.0","51.5","33409","548285","554194","1.1","991.3","8852","77197","86476","15882","0.3","1.9","1.3","1.2","0.0","40792","26.7"
"Dukes County","MA","19.8","18.3","4.7","40.7","93.4","3695","5322","1.0","1036","1.3","0.9","3.7","3.1","0.1","3.3","90.8","88.5","78.4","5891","17501","665300","2.8","5.3","66288","33363","10.1","120","7.8","103.25","8.4","92.6","0","16.5","50.5","966","16535","17356","5.0","160.2","957","0","3489","22333","0.0","0.0","4.0","0.0","0.0","4468","28.0"
"Essex County","MA","15.6","22.0","5.7","36.6","89.0","56791","275283","0.4","18277","0.8","3.8","6.3","18.6","0.1","2.3","86.6","73.3","63.4","286008","307765","349400","2.56","43.1","67311","35167","11.2","1357","14.9","492.56","24.0","87.7","174886","28.0","51.8","43065","743159","769091","3.5","1508.8","13014","124057","98221","13399","0.3","2.7","3.6","5.9","0.0","68102","29.7"
"Franklin County","MA","18.2","18.2","4.5","34.0","92.0","5922","19917","2.5","1584","0.4","1.5","1.4","3.8","0.1","2.0","94.6","91.5","68.5","30534","33668","219500","2.29","28.4","53663","29259","12.1","70","4.2","699.32","5.9","86.6","11643","24.5","51.2","5542","71372","70862","-0.7","102.1","803","4601","6910","9628","0.0","0.0","0.0","0.0","0.0","7193","31.2"
"Hampden County","MA","15.3","22.5","5.9","24.5","83.7","23446","167480","1.9","9661","0.8","2.4","10.7","23.2","0.2","2.4","83.6","65.0","61.8","177990","191788","197900","2.53","39.1","49094","25817","17.7","313","9.3","617.14","25.1","87.2","60011","22.7","51.7","32603","463490","468161","1.0","751.0","6617","49918","56686","12119","0.0","3.0","4.6","4.8","0.0","31456","28.5"
"Hampshire County","MA","14.7","15.6","3.6","42.3","93.3","12700","57927","1.7","3562","0.3","5.3","3.0","5.3","0.1","2.3","88.9","84.7","67.0","58828","62884","262600","2.31","32.6","61227","29460","13.0","193","8.2","527.26","9.8","82.6","10988","23.3","53.4","10038","158080","160939","1.8","299.8","2254","20218","15460","9962","0.0","3.4","1.9","0.0","0.0","15970","32.7"
"Middlesex County","MA","14.0","20.6","5.6","50.7","92.1","125980","836076","2.8","42829","0.3","11.1","5.5","7.5","0.1","2.2","80.9","74.6","62.7","581120","618931","398200","2.52","44.5","82090","42861","8.1","3241","19.3","817.82","25.0","86.0","224826","28.4","51.2","74275","1503085","1570315","4.5","1837.9","32502","328733","196611","13325","0.3","6.2","2.7","2.8","0.1","154765","31.1"
"Nantucket County","MA","13.4","20.9","6.4","44.0","94.0","2322","4400","11.4","934","0.2","1.4","8.1","12.8","0.0","1.8","88.4","76.7","65.8","4069","11822","929700","2.4","10.4","85478","47331","10.4","149","16.6","44.97","13.0","90.0","0","12.1","48.9","510","10172","10856","6.7","226.2","889","397","3428","30997","0.0","0.0","0.0","0.0","0.0","3017","24.3"
"Norfolk County","MA","15.7","21.6","5.4","49.2","93.7","52921","329894","2.6","19597","0.2","10.2","6.9","4.0","0.0","1.8","80.9","77.8","69.3","257451","272940","391100","2.56","37.2","84916","44692","6.6","1594","15.5","396.11","19.0","88.7","103407","31.5","52.1","38108","670850","692254","3.2","1693.6","12940","123988","112414","17133","0.3","6.2","2.9","1.5","0.0","68025","30.0"
"Plymouth County","MA","16.2","22.5","5.3","33.5","92.1","35386","156526","3.4","11922","0.3","1.5","10.0","3.6","0.1","1.8","86.3","83.7","77.1","179617","202448","332100","2.7","22.7","75092","35220","7.6","1218","8.0","659.08","11.5","90.3","25772","32.4","51.4","35024","494919","507022","2.4","750.9","7945","52535","66150","13463","0.0","2.2","2.8","1.1","0.0","45079","29.2"
"Suffolk County","MA","11.0","17.3","5.7","40.4","83.9","49184","588364","0.4","20121","0.8","8.9","24.7","21.8","0.2","3.1","62.4","46.7","35.5","288240","318302","358700","2.39","80.5","53540","32835","20.8","3323","27.4","58.15","37.4","79.0","37034","29.0","51.7","23808","722023","767254","6.3","12415.7","37958","89148","75657","10381","0.7","7.8","11.0","8.3","0.1","55613","29.5"
"Worcester County","MA","14.1","22.0","5.6","33.8","89.4","49892","281520","0.8","17635","0.4","4.7","5.3","10.5","0.1","2.0","87.5","78.8","65.7","299663","329085","259200","2.59","36.7","65223","31537","11.2","1268","11.3","1510.77","18.2","88.0","107060","27.9","50.7","53990","798552","813475","1.9","528.6","11507","69137","100571","12634","0.0","3.8","2.4","2.8","0.0","64114","28.2"
"Alcona County","MI","34.8","13.2","3.1","13.0","86.9","729","1191","10.3","193","0.7","0.3","0.3","1.5","0.0","0.9","97.7","96.3","89.8","4863","11038","102800","2.19","1.0","37189","22719","15.1","23","1.7","674.59","2.3","89.8","0","21.7","49.8","1702","10942","10454","-4.5","16.2","42","0","553","4848","0.0","0.0","0.0","0.0","0.0","935","20.4"
"Alger County","MI","23.7","15.4","3.4","17.1","89.4","569","1715","2.9","234","4.0","0.5","6.9","1.3","0.0","3.1","85.5","84.6","84.9","3607","6593","117100","2.34","5.4","37586","19717","14.8","28","1.4","915.07","3.2","82.8","1938","21.1","45.0","1100","9601","9459","-1.5","10.5","142","0","543","5636","0.0","0.0","0.0","0.0","0.0","550","0.0"
"Allegan County","MI","15.1","24.9","6.0","20.2","90.0","7703","34216","3.7","2228","0.8","0.8","1.4","7.1","0.0","1.8","95.2","88.8","81.9","41794","49763","140200","2.64","9.3","52061","24140","13.5","348","3.2","825.23","5.7","87.6","42407","24.4","50.1","7700","111408","113847","2.2","135.0","1188","5066","8813","7805","0.0","0.3","0.0","1.4","0.0","10312","25.6"
"Alpena County","MI","21.5","19.4","4.6","16.0","88.0","1965","9713","2.2","788","0.6","0.6","0.4","1.3","0.1","1.2","97.2","96.0","77.6","12899","15952","96400","2.24","11.3","38016","21948","17.3","23","1.4","571.86","3.4","86.7","5873","16.4","50.9","2800","29598","28988","-2.1","51.8","321","0","4167","14018","0.0","0.0","0.0","0.0","0.0","2468","27.5"
"Antrim County","MI","25.2","19.0","4.3","23.8","90.7","2083","3346","-6.9","547","1.1","0.2","0.3","2.0","0.0","1.4","96.9","95.0","85.0","9731","17854","141300","2.39","6.9","45362","24370","15.4","45","2.0","475.7","2.9","91.0","1936","24.5","50.3","2378","23580","23267","-1.3","49.6","352","0","1567","6480","0.0","0.0","0.0","0.0","0.0","2720","26.9"
"Arenac County","MI","22.5","18.5","4.1","11.4","84.3","914","3135","-1.4","329","1.2","0.3","0.4","1.9","0.1","1.5","96.6","95.0","83.8","6363","9743","90200","2.39","4.8","38874","20039","18.1","12","0.7","363.19","2.2","89.9","1265","27.1","49.3","1519","15899","15353","-3.4","43.8","156","0","1187","7144","0.0","0.0","0.0","0.0","0.0","1263","28.2"
"Baraga County","MI","19.1","19.0","4.5","12.0","82.0","389","1722","-1.6","195","13.7","0.4","7.8","1.4","0.0","4.5","73.6","73.0","79.3","3234","5248","84000","2.07","9.2","41189","17701","13.2","15","2.5","898.26","5.1","89.6","0","16.3","45.1","835","8860","8654","-2.3","9.9","56","45","677","7801","12.6","0.0","0.0","0.0","0.0","819","0.0"
"Barry County","MI","16.9","22.9","5.3","17.7","91.1","3643","9487","3.0","869","0.5","0.5","0.5","2.6","0.0","1.4","97.1","94.8","83.5","22610","27063","133900","2.59","7.1","52186","25059","11.7","86","1.3","553.09","2.4","89.5","9773","26.8","49.7","4802","59173","59281","0.2","107.0","323","723","2761","4676","0.0","0.0","0.0","0.0","0.0","3906","29.7"
"Bay County","MI","18.3","21.0","5.2","18.2","89.0","5549","30719","-2.0","2245","0.6","0.7","1.7","5.0","0.0","2.1","94.9","90.4","78.1","44127","48016","93800","2.4","14.7","45376","23799","14.7","62","1.4","442.3","3.4","86.7","11072","20.9","50.7","8948","107771","106179","-1.5","243.7","1346","0","13010","12117","1.5","0.6","0.0","1.9","0.0","7382","30.0"
"Benzie County","MI","23.9","19.2","4.2","24.9","90.3","1650","3039","0.0","443","1.5","0.3","0.6","2.3","0.0","1.4","96.0","94.0","83.9","7682","12294","149700","2.23","4.5","47366","24831","13.3","41","1.6","319.7","4.4","90.0","0","25.2","50.4","1955","17525","17519","0.0","54.8","441","34","1313","7488","0.0","0.0","0.0","0.0","0.0","1918","24.6"
"Berrien County","MI","17.8","22.5","6.0","24.2","87.4","9735","51314","-2.0","3610","0.6","1.9","15.4","5.1","0.1","2.3","79.7","75.3","72.1","60414","76768","129300","2.51","17.6","43633","24013","17.5","184","5.6","567.75","7.8","87.1","22983","19.8","51.2","11674","156813","155233","-1.0","276.2","2194","6890","16228","10150","0.0","1.7","8.9","1.2","0.0","13864","28.7"
"Branch County","MI","16.6","23.7","6.2","13.4","86.4","2476","11025","1.2","808","0.5","0.6","2.2","4.3","0.0","1.5","95.2","91.2","78.0","15862","20611","98000","2.64","9.0","41856","19947","18.7","0","2.6","506.37","8.1","87.8","10611","24.8","48.4","3137","45248","43545","-3.8","89.4","447","0","3968","8581","0.0","0.0","0.0","0.0","0.0","3288","18.9"
"Calhoun County","MI","16.4","23.2","6.1","19.5","88.8","6582","50801","5.9","2630","0.8","2.0","11.1","4.8","0.1","3.1","83.0","79.0","69.7","53428","60677","98300","2.47","19.4","42110","22978","17.8","56","3.6","706.23","6.1","84.5","49539","20.0","51.2","11349","136146","134878","-0.9","192.8","1819","0","15713","11496","0.0","1.6","0.0","0.0","0.0","9618","30.5"
"Cass County","MI","19.4","21.3","4.6","16.2","87.2","3016","6650","-4.9","737","1.2","0.8","5.4","3.5","0.0","3.0","89.6","86.7","83.6","19663","25893","124800","2.63","5.0","44346","22743","14.5","84","2.0","490.06","4.5","91.6","7112","25.6","50.0","4669","52293","51608","-1.3","106.7","271","0","1834","3623","0.0","0.0","3.3","1.5","0.0","4140","0.0"
"Charlevoix County","MI","21.5","20.3","4.8","27.0","91.6","2570","7728","3.8","792","1.6","0.5","0.5","1.8","0.0","1.7","95.6","94.1","81.6","10667","17366","151400","2.41","11.7","45949","26947","13.3","67","2.4","416.34","3.5","89.1","6986","18.8","50.6","2356","25949","26121","0.7","62.3","602","83","2212","8437","0.7","0.0","0.0","0.0","0.0","3623","28.1"
"Cheboygan County","MI","24.7","17.8","4.0","16.3","87.8","1899","4759","2.2","754","3.0","0.4","0.6","1.4","0.0","2.8","93.2","92.2","81.1","11477","18286","112500","2.24","4.8","38410","23412","17.8","54","1.0","715.26","2.1","87.7","0","26.4","50.2","2719","26152","25675","-1.8","36.6","459","0","3169","11806","4.2","0.0","0.0","0.0","0.0","2810","30.2"
