total_cup_points,species,owner,country_of_origin,farm_name,company,region,producer,number_of_bags,bag_weight,harvest_year,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,sweetness,moisture,color,altitude_low_meters,altitude_high_meters,altitude_mean_meters
80.92,Robusta,kawacom uganda ltd,Uganda,bushenyi,kawacom uganda ltd,western,Kawacom uganda ltd,1,60 kg,2013,NA,NA,7.33,7.58,7.5,7.75,7.75,7.67,10,7.75,0.12,Green,1600,1600,1600
80.58,Robusta,nitubaasa ltd,Uganda,kigezi coffee farmers association,nitubaasa ltd,western,Kigezi Coffee Farmers Association,20,60 kg,2013,NA,NA,7.83,7.58,7.33,7.67,7.5,7.5,10,7.75,0.12,Green,1745,1745,1745
80.5,Robusta,mannya coffee project,Uganda,mannya coffee project,mannya coffee project,southern,Mannya coffee project,6,60 kg,2013,NA,NA,7.75,7.42,7.33,7.58,7.67,7.58,10,7.67,0.12,Green,1200,1200,1200
80.17,Robusta,andrew hetzel,India,sethuraman estates,"cafemakers, llc",chikmagalur,Nishant Gurjer,250,2 kg,2013,NA,Natural / Dry,7.58,7.42,7.42,7.83,7.42,7.5,10,7.42,0,Green,750,750,750
75.08,Robusta,cafe politico,India,NA,cafe politico,NA,NA,1,5 lbs,2013,NA,Natural / Dry,7.42,6.83,6.75,7.17,7.25,7,9.33,7.08,0.1,Green,NA,NA,NA
73.75,Robusta,cafe politico,Vietnam,NA,cafe politico,NA,NA,1,5 lbs,2013,NA,Natural / Dry,6.75,6.67,6.5,6.83,6.92,6.83,9.33,6.67,0.12,None,NA,NA,NA
90.58,Arabica,metad plc,Ethiopia,metad plc,metad agricultural developmet plc,guji-hambela,METAD PLC,300,60 kg,2014,NA,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10,10,0.12,Green,1950,2200,2075
89.92,Arabica,metad plc,Ethiopia,metad plc,metad agricultural developmet plc,guji-hambela,METAD PLC,300,60 kg,2014,Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10,10,0.12,Green,1950,2200,2075
89,Arabica,yidnekachew dabessa,Ethiopia,yidnekachew dabessa coffee plantation,yidnekachew debessa coffee plantation,oromia,Yidnekachew Dabessa Coffee Plantation,320,60 kg,2014,NA,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10,10,0.11,Green,1800,2200,2000
88.83,Arabica,metad plc,Ethiopia,metad plc,metad agricultural developmet plc,guji-hambela,METAD PLC,300,60 kg,2014,Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10,10,0.12,Green,1950,2200,2075
88.25,Arabica,diamond enterprise plc,Ethiopia,tulla coffee farm,diamond enterprise plc,"snnp/kaffa zone,gimbowereda",Diamond Enterprise Plc,50,60 kg,2014,Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10,10,0.1,Green,1795,1850,1822.5
88.08,Arabica,mohammed lalo,Ethiopia,fahem coffee plantation,fahem coffee plantation,oromia,Fahem Coffee Plantation,300,60 kg,2014,NA,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10,10,0.1,NA,1855,1955,1905
87.92,Arabica,cqi q coffee sample representative,United States,el filo,coffee quality institute,antioquia,Alfredo De Jesús López Pérez,10,1 kg,2014,Other,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10,10,0,NA,1872,1872,1872
87.92,Arabica,cqi q coffee sample representative,United States,los cedros,coffee quality institute,antioquia,Jorge Walter Restrepo,10,1 kg,2014,Other,Washed / Wet,8.08,8.67,8.33,8.42,8,8.08,10,10,0,NA,1943,1943,1943
87.58,Arabica,cqi q coffee sample representative,United States,el águila,coffee quality institute,antioquia,María Leticia Diosa,10,1 kg,2014,Other,Washed / Wet,8,8.5,8.58,8.17,8.17,8,10,10,0,NA,2080,2080,2080
87.25,Arabica,essencecoffee,Ethiopia,drima zede,essence coffee,gedio,LevelUp,250,60 kg,2014,Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8,8.17,8.08,8.33,10,10,0,NA,1700,2000,1850
87.25,Arabica,cqi q coffee sample representative,United States,el rodeo,coffee quality institute,antioquia,Nicolás Rueda Urrego,10,1 kg,2014,Other,Washed / Wet,8,8.25,8.08,8.5,8.25,8,10,10,0,None,2019,2019,2019
87.17,Arabica,the coffee source inc.,Costa Rica,several,the coffee source inc.,san ramon,SEVERAL,250,3 lbs,2014,Caturra,Washed / Wet,8.08,8.25,8,8.17,8,8.33,10,10,0.11,Green,1300,1300,1300
87.08,Arabica,cqi q coffee sample representative,United States,la curva,coffee quality institute,antioquia,Silvia Elena Higuita,10,1 kg,2014,Other,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10,10,0,NA,2112,2112,2112
86.25,Arabica,hider abamecha,Ethiopia,haider abamecha coffee plantation,haider abamecha coffee export,oromia,Haider Abamecha Abadiko,320,60 kg,2014,NA,Natural / Dry,8,8.08,7.92,8,8.08,8.08,10,10,0.1,Green,1750,1800,1775
86.17,Arabica,cqi q coffee sample representative,United States,la primavera,coffee quality institute,antioquia,Hugo Sepúlveda Montoya,10,1 kg,2014,Other,Washed / Wet,7.67,8.17,8,8,8.17,8.08,10,10,0,NA,1941,1941,1941
86.08,Arabica,jungle estate,Kenya,jungle estate,keremara limited,nyeri,JUNGLE ESTATE,12,60 kg,2014,SL28,Natural / Dry,8.08,8.08,8,8,7.83,8.08,10,10,0.11,Bluish-Green,1754,1754,1754
86,Arabica,great lakes coffee uganda,Uganda,kaasayi,ucda,eastern uganda,Kaasay Farmer Group,1,60 kg,2014,NA,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10,10,0,NA,NA,NA,NA
85.83,Arabica,ibrahim hussien speciality coffee producer &export,Ethiopia,NA,ibrahim hussien specality coffee product & exporter,oromia,Ibrahim Hussien Specialty Coffee Producer and Exporter,320,60 kg,2014,NA,Washed / Wet,7.83,8.08,7.92,8.08,8,7.92,10,10,0.1,Green,1800,2000,1900
85.5,Arabica,essencecoffee,Panama,elida estate,essence coffee,boquete,Lamastus,100,60 kg,2014,Caturra,Natural / Dry,8,7.75,7.83,7.83,7.67,8.58,10,10,0.09,NA,1680,1680,1680
85.5,Arabica,essencecoffee,Kenya,inoi,essence coffee,kirinyaga,NA,16,60 kg,2014,SL28,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10,10,0.1,Green,1900,1900,1900
85.33,Arabica,essencecoffee,Guatemala,el injerto s.a.,essence coffee,huehuetenango,Arturo Aguirre,36,30 kg,2014,Pacamara,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10,10,0.11,Green,1770,1770,1770
85.33,Arabica,the coffee source inc.,Costa Rica,several,the coffee source inc.,west valley,Cafe Altura de San Ramon,250,3 lbs,2014,Caturra,Washed / Wet,7.92,8.08,8,7.92,8,8.08,10,9.33,0,Bluish-Green,1300,1300,1300
85.33,Arabica,the coffee source inc.,Costa Rica,several,the coffee source inc.,san ramon,SEVERAL,250,3 lbs,2014,Caturra,Washed / Wet,8,7.58,7.58,7.67,8.08,8.5,10,10,0.1,Bluish-Green,1300,1300,1300
85.25,Arabica,compañia colombiana agroindustrial s.a,Colombia,NA,ecom cca sa,santander,NA,250,70 kg,2014,Caturra,Natural / Dry,7.58,8.08,7.92,7.83,8,7.92,10,10,0.12,Green,1550,1550,1550
85.08,Arabica,steven kil,Ethiopia,aricha coop,the specialty coffee appraisers institute of asia,aricha,BNT,100,60 kg,2014,NA,Natural / Dry,8.42,8,7.42,8,7.92,7.92,9.33,10,0.1,Green,1700,1700,1700
85.08,Arabica,eileen koyanagi,United States (Hawaii),NA,kona pacific farmers cooperative,kona,NA,12,100 lbs,2014,Hawaiian Kona,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10,10,0.11,Bluish-Green,NA,NA,NA
84.92,Arabica,taylor winch (t) ltd,"Tanzania, United Republic Of",hasambo amcos,taylor winch (t) ltd,mbeya,Hasambo AMCOS,134,60 kg,2014,Other,Washed / Wet,8,7.83,7.83,7.92,7.75,7.75,10,10,0.12,Green,1620,1620,1620
84.75,Arabica,lydiah mwangi,Kenya,karatina,c dorman ltd,nyeri,KARATINA,150,60 kg,2014,SL34,Washed / Wet,7.92,7.83,7.58,7.92,7.75,7.83,10,10,0.13,Green,1800,1800,1800
84.75,Arabica,cadexsa,Honduras,cerro bueno,cadexsa,marcala,Omar Acosta,275,1 kg,2014,Catuai,Washed / Wet,7.83,7.75,8,7.67,7.67,7.67,10,10,0.11,Green,1450,1450,1450
84.67,Arabica,fabian calderon mora,Costa Rica,coopetarrazú,coopetarrazú.r.l,tarrazu,Coopetarrazú,50,1 lbs,2014,Caturra,Washed / Wet,8.17,8,7.83,7.17,7.83,7.75,10,10,0.12,Green,1750,1750,1750
84.67,Arabica,essencecoffee,Ethiopia,moplaco,essence coffee,yirgacheffe,Moplaco,250,30 kg,2014,Ethiopian Yirgacheffe,Washed / Wet,8.08,7.83,7.75,7.83,7.58,7.67,10,10,0.1,NA,1900,1900,1900
84.67,Arabica,essencecoffee,Costa Rica,finca salaca las brisas,essence coffee,costa rica,Maria Elena Castro,20,69 kg,2014,Other,Other,7.67,7.58,7.75,7.75,7.67,8.58,10,10,0.08,Green,1750,1750,1750
84.67,Arabica,eric thormaehlen,Costa Rica,various,coricafe s.a.,west valley,CORICAFE BLEND,275,1 kg,2014,Catuai,Washed / Wet,8,7.58,7.83,7.75,7.75,7.75,10,10,0.11,Green,1200,1200,1200
84.58,Arabica,juan luis alvarado romero,Guatemala,el morito,"armajaro guatemala, s. a.",jalapa,ROBERTO MONTERROSO,250,69 kg,2014,Pacas,Washed / Wet,7.75,7.83,7.67,7.92,7.75,7.83,10,10,0.11,Green,1524,1524,1524
84.58,Arabica,juan luis alvarado romero,Guatemala,el papaturro,"unex guatemala, s.a.",oriente,AMILCAR LAPOLA,250,69 kg,2014,Bourbon,Washed / Wet,8,7.92,7.67,7.58,7.58,7.67,10,10,0.09,Green,1219.2,1219.2,1219.2
84.5,Arabica,fabian calderon mora,Costa Rica,coopetarrazú,coopetarrazú.r.l,tarrazu,Coopetarrazú,250,1 lbs,2014,Caturra,Washed / Wet,7.92,7.83,7.83,7.83,7.58,7.58,10,10,0.11,Green,1700,1700,1700
84.42,Arabica,racafe & cia s.c.a,Colombia,NA,racafe & cia s.c.a,huila,La Plata,275,70 kg,2014,Caturra,Washed / Wet,7.92,7.75,7.67,7.92,7.67,7.75,10,10,0,Green,1600,1950,1775
84.25,Arabica,tembo coffee company ltd,"Tanzania, United Republic Of",jacksom mwasenga,tembo coffee company ltd,shizingo village,Tembo Coffee Company Ltd,10,60 kg,2014,Other,Washed / Wet,7.83,7.67,7.75,7.83,7.67,7.67,10,10,0.12,Green,1620,1620,1620
84.25,Arabica,taylor winch (t) ltd,"Tanzania, United Republic Of",suma jkt itende,taylor winch (t) ltd,mbeya,Taylor Winch (T) ltd,65,60 kg,2014,Other,Washed / Wet,7.83,7.75,7.75,7.75,7.67,7.75,10,10,0.12,Green,1600,1600,1600
84.25,Arabica,juan luis alvarado romero,Guatemala,el papaturro,"unex guatemala, s.a.",oriente,AMILCAR LAPOLA,250,69 kg,2014,Bourbon,Other,7.83,7.83,7.5,7.92,7.58,7.75,10,10,0.1,Green,1219.2,1219.2,1219.2
84.17,Arabica,"ceca, s.a.",Costa Rica,gamboa,"ceca,s.a.",tarrazu,Martin Gutierrez,320,69 kg,2014,Caturra,Washed / Wet,7.67,7.75,7.67,7.75,7.5,8,10,10,0,Blue-Green,1850,1850,1850
84.17,Arabica,asefa dukamo keroma,Ethiopia,asefa dukamo coffee plantation,asefa dukamo coffee plantetion,snnprg; kafa; telo woreda; shada kebele,Tariku Oljira,320,60 kg,2014,Gesha,Natural / Dry,7.5,7.92,7.58,7.83,7.75,7.83,10,10,0.1,Green,1545,1668,1606.5
84.17,Arabica,selian coffee estate,"Tanzania, United Republic Of",selian coffee estate,selian coffee estate,arusha,Selian Coffee Estate,10,60 kg,2014,Other,Washed / Wet,7.92,7.75,7.75,7.75,7.75,7.58,10,10,0.13,Green,1400,1400,1400
84.08,Arabica,racafe & cia s.c.a,Colombia,NA,racafe & cia s.c.a,huila,La Plata,200,70 kg,2014,Caturra,Washed / Wet,7.92,7.75,7.67,7.75,7.67,7.67,10,10,0,NA,1600,1950,1775
84.08,Arabica,lusso lab,Guatemala,aprocafi,lusso coffee lab,"aldea xeucalvitz, ixil region, quiche department",Asociacion de Productores de Cafe de la Region Ixil,1,2 kg,2014,Bourbon,Washed / Wet,7.58,7.75,7.67,8,7.75,7.67,10,10,0.1,Bluish-Green,1550,1550,1550
84,Arabica,juan luis alvarado romero,Guatemala,el papaturro,"unex guatemala, s.a.",oriente,AMILCAR LAPOLA,250,69 kg,2014,Bourbon,Natural / Dry,7.92,7.67,7.42,7.92,7.75,7.83,10,10,0.1,Green,1219.2,1219.2,1219.2
84,Arabica,juan luis alvarado romero,Guatemala,el papaturro,"unex guatemala, s.a.",oriente,AMILCAR LAPOLA,250,69 kg,2014,Bourbon,Other,7.75,7.83,7.5,7.83,7.58,7.67,10,10,0.1,Green,1219.2,1219.2,1219.2
84,Arabica,olam agro colombia,Colombia,NA,olam international ltd,huila,NA,250,1 kg,2014,NA,Washed / Wet,7.67,7.75,7.67,7.67,7.67,7.75,10,10,0.12,Green,1480,1480,1480
84,Arabica,compañia colombiana agroindustrial s.a,Colombia,NA,ecom cca sa,santander,NA,250,70 kg,2014,Caturra,Natural / Dry,7.58,7.42,7.75,7.92,7.75,7.92,10,10,0.12,Green,1450,1450,1450
84,Arabica,racafe & cia s.c.a,Colombia,NA,racafe & cia s.c.a,huila,La Plata,138,70 kg,2014,Caturra,Washed / Wet,7.67,7.67,7.5,7.5,7.67,7.67,10,10,0.12,Green,1600,1950,1775
83.92,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,very famous intl.名門義理國際股份有限公司,宸嶧國際,台灣,YANG TENG KO楊登嵙,1,2 kg,2014,NA,Natural / Dry,7.75,7.75,7.58,7.75,7.75,7.67,10,10,0,Blue-Green,NA,NA,NA
83.92,Arabica,federacion nacional de cafeteros,Colombia,NA,federacion nacional de cafeteros,huila,NA,275,2 kg,2014,NA,Washed / Wet,7.83,7.75,7.58,7.58,7.75,7.75,10,10,0,None,NA,NA,NA
83.92,Arabica,racafe & cia s.c.a,Colombia,NA,racafe & cia s.c.a,huila,La Plata,275,70 kg,2014,Caturra,Washed / Wet,7.75,7.58,7.67,7.83,7.83,7.67,10,10,0,Green,1600,1950,1775
83.92,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,神谷山莊園,宸嶧國際,台中和平區,張瑞宏,10,60 kg,2014,Typica,Washed / Wet,8,7.92,7.92,7.92,7.67,7.33,10,10,0.06,Green,950,950,950
83.92,Arabica,compañia colombiana agroindustrial s.a,Colombia,NA,ecom cca sa,santander,NA,250,70 kg,2014,Caturra,Natural / Dry,7.67,7.83,7.67,7.75,7.67,7.83,10,10,0.12,Green,1550,1550,1550
83.83,Arabica,"lin, che-hao krude 林哲豪",Taiwan,鄉舍咖啡 hometown coffee,taiwan coffee laboratory,"dongshan dist., tainan city 臺南市東山區",ZENG JIAN NAN 曾建男,8,18 kg,2014,Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.42,7.75,10,10,0,Green,480,570,525
83.83,Arabica,yasmin cofffee plantation plc,Ethiopia,NA,yasmin coffee plantation plc,oromia,Sumeya Yasin,320,60 kg,2014,NA,Natural / Dry,7.75,7.75,7.67,7.67,7.58,7.67,10,10,0.12,Green,1650,1703,1676.5
83.83,Arabica,juan luis alvarado romero,Guatemala,el papaturro,"unex guatemala, s.a.",oriente,AMILCAR LAPOLA,250,69 kg,2014,Bourbon,Washed / Wet,7.58,7.83,7.33,8,7.58,7.75,10,10,0.1,Green,1219.2,1219.2,1219.2
83.75,Arabica,racafe & cia s.c.a,Colombia,NA,racafe & cia s.c.a,huila,La Plata,100,70 kg,2014,Caturra,Washed / Wet,7.67,7.67,7.67,7.92,7.5,7.67,10,10,0,Green,1600,1950,1775
83.75,Arabica,olam agro colombia,Colombia,NA,olam international ltd,huila,NA,250,70 kg,2014,Other,Washed / Wet,7.67,7.42,7.42,7.42,8,8.33,10,10,0,Green,1500,1600,1550
83.67,Arabica,doi tung development project,Thailand,NA,doi tung development project,thailand,Doi Tung Development Project,1,1 kg,2014,NA,Washed / Wet,7.5,7.75,7.58,7.83,7.67,7.58,10,10,0.12,Bluish-Green,800,800,800
83.67,Arabica,juan luis alvarado romero,Guatemala,finca las cuevitas,exportcafe,huehuetenango,FRANCISCO LUIS MARTINEZ LOPEZ,275,69 kg,2014,Bourbon,Washed / Wet,8,7.5,7.33,8,8,8,9.33,10,0.1,Green,1356.6648,1356.6648,1356.6648
83.58,Arabica,andreas kussmaul,Mexico,exportadora café california,exportadora café california,"chiapas, jaltenango",Exportadora Café California,275,2 kg,2014,Caturra,Washed / Wet,7.75,7.75,7.58,7.58,7.5,7.67,10,10,0.12,Green,1200,1200,1200
83.58,Arabica,essencecoffee,Ethiopia,lomi tasha,essence coffee,yirgacheffe,LevelUp,250,60 kg,2014,Other,Washed / Wet,7.75,7.67,7.58,7.67,7.5,7.67,10,10,0,NA,1700,2000,1850
83.58,Arabica,compañia colombiana agroindustrial s.a,Colombia,NA,ecom cca sa,cundinamarca,NA,250,70 kg,2014,Caturra,Natural / Dry,7.67,7.58,7.67,7.67,7.67,7.67,10,10,0,Green,1600,1600,1600
83.58,Arabica,compañia colombiana agroindustrial s.a,Colombia,NA,ecom cca sa,santander,NA,250,70 kg,2014,Caturra,Washed / Wet,7.67,7.58,7.67,7.58,7.67,7.75,10,10,0.12,Green,1550,1550,1550
83.58,Arabica,compañia colombiana agroindustrial s.a,Colombia,NA,ecom cca sa,santander,NA,250,70 kg,2014,Caturra,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.83,10,10,0,NA,1550,1550,1550
83.5,Arabica,debesa agro industry plc,Ethiopia,NA,debesa agro industry plc,oromia,Debesa,320,60 kg,2014,NA,Natural / Dry,7.67,7.75,7.5,7.58,7.75,7.67,10,10,0.1,NA,1600,1600,1600
83.5,Arabica,federacion nacional de cafeteros,Colombia,NA,federacion nacional de cafeteros,huila,NA,275,2 kg,2014,NA,Washed / Wet,7.67,7.42,7.67,7.83,7.58,7.67,10,10,0,NA,NA,NA,NA
83.5,Arabica,exportadora de cafe condor s.a,Colombia,NA,exportadora de cafe condor s.a,huila,NA,275,70 kg,2014,Caturra,Washed / Wet,8,7.58,7.25,7.58,7.92,7.58,10,10,0.11,Green,1850,1850,1850
83.5,Arabica,compañia colombiana agroindustrial s.a,Colombia,NA,ecom cca sa,cundinamarca,NA,250,70 kg,2014,Caturra,Washed / Wet,7.75,7.58,7.33,7.5,7.83,7.83,10,10,0,NA,1650,1650,1650
83.42,Arabica,bourbon specialty coffees,Brazil,cachoeira da grama farm,bourbon specialty coffees,vale da grama,GABRIEL CARVALHO DIAS,300,60 kg,2014,Yellow Bourbon,Semi-washed / Semi-pulped,7.33,7.83,7.75,7.5,7.42,7.83,10,10,0.12,Green,NA,NA,NA
83.42,Arabica,ngila estate ltd,"Tanzania, United Republic Of",ngila estate,ngila estate ltd,karatu northern,Ngila Estate Ltd,39,60 kg,2014,Bourbon,Washed / Wet,7.75,7.67,7.58,7.67,7.58,7.58,10,10,0.13,Green,1600,1600,1600
83.42,Arabica,juan luis alvarado romero,Guatemala,finca medina,"siembras vision, s.a.",antigua,"SIEMBRAS VISIÓN, S.A.",250,69 kg,2014,Caturra,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.5,10,10,0.1,Green,1500,1500,1500
83.33,Arabica,andreas kussmaul,Mexico,ecc,exportadora café california,chiapas,ECC,275,1 kg,2014,Caturra,Washed / Wet,7.75,7.75,7.5,7.67,7.5,7.58,10,10,0.12,Green,1200,1200,1200
83.33,Arabica,afca,"Tanzania, United Republic Of",mondul coffee estate,mondul coffee estate,arusha,Mondul Coffee Estate,10,60 kg,2014,Other,Semi-washed / Semi-pulped,7.75,7.58,7.67,7.58,7.58,7.58,10,10,0.12,Green,1700,1700,1700
83.33,Arabica,the coffee source inc.,Costa Rica,several,the coffee source inc.,san ramon,SEVERAL,250,3 lbs,2014,Caturra,Washed / Wet,7.67,7.67,7.42,7.67,7.67,7.67,10,10,0.12,Green,1300,1300,1300
83.33,Arabica,eileen koyanagi,United States (Hawaii),NA,kona pacific farmers cooperative,kona,NA,12,100 lbs,2014,Hawaiian Kona,Natural / Dry,7.83,7.58,7.83,7.67,7.92,8,9.33,9.33,0.11,Bluish-Green,NA,NA,NA
83.25,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,以勒咖啡,宸嶧國際,南投國姓,蘇詠晴,10,60 kg,2014,Typica,Washed / Wet,7.92,7.83,7.75,7.58,7.5,7.33,10,10,0.1,Green,800,800,800
83.25,Arabica,compañia colombiana agroindustrial s.a,Colombia,NA,ecom cca sa,eje cafetero,NA,250,70 kg,2014,Caturra,Natural / Dry,7.58,7.58,7.5,7.58,7.58,7.75,10,10,0,Green,1483,1483,1483
83.25,Arabica,juan luis alvarado romero,Guatemala,finca medina,"siembras vision, s.a.",antigua,"SIEMBRAS VISIÓN, S.A.",26,69 kg,2014,Caturra,Washed / Wet,7.5,7.67,7.58,7.67,7.67,7.5,10,10,0.1,Green,1500,1500,1500
83.17,Arabica,taylor winch (coffee) ltd.,Kenya,NA,taylor winch (coffee) ltd,kenya,NA,300,2 kg,2014,SL28,Washed / Wet,7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,0.1,Bluish-Green,1,500,250.5
83.17,Arabica,doi tung development project,Thailand,NA,doi tung development project,thailand,Doi Tung Development Project,1,1 kg,2014,NA,Washed / Wet,7.67,7.58,7.58,7.75,7.42,7.67,10,10,0.12,Bluish-Green,800,800,800
83.17,Arabica,tutunze kahawa ltd,"Tanzania, United Republic Of",myanganyanga,tutunze kahawa ltd,mbinga,Tutunze Kahawa Ltd,180,60 kg,2014,Other,Washed / Wet,7.58,7.67,7.67,7.58,7.42,7.58,10,10,0.13,Bluish-Green,1653,1653,1653
83.17,Arabica,racafe & cia s.c.a,Colombia,NA,racafe & cia s.c.a,huila,La Plata,232,70 kg,2014,Caturra,Washed / Wet,7.58,7.5,7.5,7.67,7.5,7.67,10,10,0,NA,1600,1950,1775
83.17,Arabica,kabum trading company,Uganda,kaptanya,kabum trading company,eastern,Kabum Trading Company,84,60 kg,2014,SL14,Washed / Wet,8,7.67,7.5,7.42,7.33,7.58,10,10,0.1,Bluish-Green,1800,1800,1800
83.17,Arabica,cafe politico,Colombia,unkown,green mountain coffee,NA,unkown,1,4 lbs,2014,NA,Washed / Wet,7.58,7.75,7.5,7.58,7.58,7.58,10,10,0.11,Green,NA,NA,NA
83.17,Arabica,juan luis alvarado romero,Guatemala,nueva granada,"agricola nueva granada, s.a.",san marcos,"AGRICOLA NUEVA GRANADA, S.A.",200,69 kg,2014,Catuai,Washed / Wet,7.33,7.83,7.17,8.17,7.33,7.67,10,10,0.09,Green,1524,1524,1524
83.17,Arabica,balam hinyula,"Tanzania, United Republic Of",NA,taylor winch (t) ltd,kilimanjaro,NA,300,1 kg,2014,Bourbon,Washed / Wet,7.58,7.5,7.58,7.75,7.58,7.58,10,10,0.12,Green,1800,1800,1800
83.08,Arabica,eric thormaehlen,Costa Rica,various,coricafe s.a.,central valley,VARIOS,250,1 kg,2014,Catuai,Washed / Wet,7.83,7.33,7.5,7.67,7.58,7.67,10,10,0.1,Green,1200,1400,1300
83,Arabica,"sunvirtue co., ltd.",Vietnam,apollo estate,"sunvirtue co., ltd.",vietnam cau dat,"Yeh, Li Chuan.",2,2 kg,2014,Caturra,Other,7.75,7.67,7.58,7.58,7.42,7.67,9.33,10,0,Green,1550,1550,1550
83,Arabica,irene alves santos,Brazil,fazenda santo antonio,atlantica eportacao e importcao ltda,high mogiana,João Alves Toledo,305,2 kg,2014,Catuai,Natural / Dry,7.67,7.67,7.67,7.5,7.42,7.5,10,10,0,Green,900,1100,1000
83,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,雅慕伊,宸嶧國際,嘉義阿里山,雅慕伊,10,60 kg,2014,Typica,Washed / Wet,7.92,7.92,7.83,7.58,7.33,7.25,10,10,0.08,Green,1200,1200,1200
83,Arabica,juan luis alvarado romero,Guatemala,grupo medina (pequeños productores),"siembras vision, s.a.",antigua,GRUPO MEDINA,26,69 kg,2014,Bourbon,Washed / Wet,7.67,7.67,7.42,7.83,7.5,7.5,10,10,0.1,Green,1500,1500,1500
82.92,Arabica,cqi taiwan icp cqi台灣合作夥伴,Taiwan,佐佑品咖啡莊園,宸嶧國際,台東太麻里,許文郎,11,2 kg,2014,Typica,Natural / Dry,7.5,7.58,7.67,7.33,7.5,7.75,10,10,0,Green,775,775,775
82.92,Arabica,zarah zamora perez,Philippines,"several, bukidnon, mindanao, philippines",ephemera traders,asia pacific,Ephemera Traders,4,2 kg,2014,Other,Washed / Wet,8.08,7.5,7.67,7.42,7.33,7.5,10,10,0,Bluish-Green,1600,1600,1600
82.92,Arabica,juan luis alvarado romero,Guatemala,finca medina,"siembras vision, s.a.",antigua,"SIEMBRAS VISION, S.A.",250,69 kg,2014,Bourbon,Washed / Wet,7.75,7.5,7.42,7.58,7.67,7.5,10,10,0.1,Green,1500,1500,1500
82.92,Arabica,juan luis alvarado romero,Guatemala,finca medina,"siembras vision, s.a.",antigua,"SIEMBRAS VISIÓN, S.A.",26,69 kg,2014,Caturra,Natural / Dry,7.67,7.83,7.42,7.5,7.33,7.5,10,10,0.1,Green,1500,1500,1500
82.83,Arabica,"sunvirtue co., ltd.",Vietnam,apollo estate,"sunvirtue co., ltd.",vietnam tutra,"Yeh, Li Chuan",3,2 kg,2014,Other,Other,7.25,7.58,7.5,7.42,7.75,7.42,10,10,0.11,Green,1040,1040,1040
82.83,Arabica,essencecoffee,Colombia,NA,essence coffee,huila,Mercedes Narvaez,100,24 kg,2014,Other,Washed / Wet,7.83,7.67,7.5,7.58,7.5,7.67,10,10,0,NA,1200,2000,1600
82.83,Arabica,joshua marsceau,United States,"kampung keling, jumaraj, gurusinga, gongsol",olam specialty coffee,berastagi,PT. Olam Indonesia,300,60 kg,2014,Other,Other,7.42,7.58,7.25,7.5,7.75,7.75,10,10,0,NA,1200,1200,1200
82.83,Arabica,juan luis alvarado romero,Guatemala,finca medina,"siembras vision, s.a.",antigua,"SIEMBRAS VISIÓN, S.A.",250,69 kg,2014,Bourbon,Washed / Wet,7.67,7.67,7.75,7.67,7.42,7.17,10,10,0.1,Green,1500,1500,1500
82.75,Arabica,racafe & cia s.c.a,Colombia,NA,racafe & cia s.c.a,huila,La Plata,250,70 kg,2014,Caturra,Washed / Wet,7.5,7.58,7.58,7.75,7.33,7.5,10,10,0,Blue-Green,1600,1950,1775
82.75,Arabica,afca,Malawi,msese,mzuzu coffee planters coop union,mzuzu,Mzuzu Coffee Planters Coop Union,29,60 kg,2014,Gesha,Washed / Wet,7.75,7.58,7.42,7.5,7.33,7.5,10,10,0.12,Bluish-Green,1442,1442,1442
82.75,Arabica,juan luis alvarado romero,Guatemala,el morito,"armajaro guatemala, s. a.",jalapa,ROBERTO MONTERROSO,250,69 kg,2014,Pacas,Washed / Wet,7.75,7.42,7.25,7.75,7.5,7.67,10,10,0.13,Green,1524,1524,1524
82.75,Arabica,coffee export,Colombia,NA,coffee export,huila,NA,275,1 kg,2014,Typica,Washed / Wet,7.67,7.42,7.42,7.58,7.33,7.67,10,10,0.12,Green,165,165,165
