STATE GOVERNMENT FINANCES: 1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands.  Per capita amounts in dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,,,,,,,,,,,,,,,
    Intergovernmental revenue,892.55,923.95,"1,758.60",713.27,933.04,945.73,702.25,921.28,974.59,556.57,742.76,985.41,702.36,743.77,668.41,774.10,708.59,915.27,921.58,"1,134.27",688.19,"1,050.61",871.63,833.45,"1,070.85",780.78,"1,190.20",771.06,521.91,863.78,787.62,"1,062.87","1,859.17",903.37,"1,398.66",798.73,751.87,"1,025.16",800.62,"1,159.67",897.41,"1,035.30",969.50,739.16,804.78,"1,234.67",556.73,746.50,"1,157.43",726.46,"1,743.79",,,,,,,,,,,,,,,
    Taxes,"1,758.47","1,318.73","1,931.95","1,488.52","1,598.15","2,072.87","1,483.32","2,869.09","2,664.69","1,509.86","1,516.51","2,662.40","1,674.46","1,641.41","1,652.33","1,677.77","1,773.19","1,807.48","1,392.10","1,904.62","1,789.84","2,356.95","2,161.07","2,434.48","1,541.56","1,511.77","1,507.92","1,583.68","1,782.02",851.04,"1,922.98","2,057.96","1,989.21","1,837.86","1,689.60","1,573.92","1,583.89","1,523.28","1,718.92","1,842.53","1,481.54","1,129.36","1,288.27","1,246.43","1,667.14","1,620.72","1,552.41","2,075.17","1,663.02","2,134.54","1,779.38",,,,,,,,,,,,,,,
      General sales,578.15,360.90,0.00,653.32,596.33,652.10,385.51,925.97,0.00,866.43,522.56,"1,194.76",531.34,464.58,535.03,534.10,615.90,503.31,453.48,667.68,420.90,481.94,771.38,686.42,739.37,483.19,0.00,553.16,948.39,0.00,587.33,837.63,419.00,433.68,484.36,493.44,396.90,0.00,526.02,531.80,563.84,599.52,741.68,631.30,624.81,329.17,327.63,"1,214.43",472.78,583.40,697.40,,,,,,,,,,,,,,,
      Selective sales,264.56,326.96,190.23,205.22,231.70,159.48,198.34,515.82,342.82,268.46,130.66,407.71,244.06,291.86,212.32,239.50,217.25,324.21,278.74,249.10,327.48,229.07,196.46,357.51,277.34,215.46,312.05,239.22,555.07,420.20,355.41,285.46,264.51,326.30,471.40,248.00,203.58,204.63,281.19,378.89,190.68,296.43,238.07,374.98,219.44,388.42,248.29,311.74,387.36,294.73,140.05,,,,,,,,,,,,,,,
      License taxes,109.97,99.82,153.64,49.94,93.52,95.99,69.96,109.96,872.91,97.30,51.92,77.66,159.56,100.26,36.72,158.21,81.33,113.48,104.54,95.27,68.33,73.30,112.56,185.18,109.10,105.64,178.24,101.66,192.34,105.25,92.82,108.22,53.19,111.54,124.96,129.97,223.11,154.14,181.71,88.67,105.56,142.12,120.85,178.85,57.30,110.95,67.06,92.95,87.79,122.04,164.58,,,,,,,,,,,,,,,
      Individual income tax,595.85,412.12,0.00,399.09,547.73,850.55,725.65,"1,040.27","1,023.99",0.00,695.79,908.12,633.94,580.06,689.09,642.28,663.35,614.29,332.07,728.45,806.10,"1,306.62",643.37,"1,005.16",307.79,619.97,504.47,585.73,0.00,52.15,688.92,460.01,"1,006.26",811.60,278.69,621.60,563.31,"1,047.72",502.01,744.21,544.18,0.00,29.62,0.00,654.61,618.76,795.93,0.00,478.21,966.31,0.00,,,,,,,,,,,,,,,
      Corporate income tax,115.26,57.17,449.11,113.13,99.62,171.05,68.28,163.39,276.05,85.23,96.80,51.76,95.79,162.85,157.35,68.77,116.36,84.76,82.29,86.10,73.75,220.41,239.86,159.39,88.77,65.81,88.51,85.49,0.00,199.31,145.17,103.64,172.08,132.48,129.33,68.32,66.52,85.07,130.22,70.53,55.69,51.84,111.85,0.00,87.91,77.66,65.62,0.00,122.31,130.30,0.00,,,,,,,,,,,,,,,
      Other taxes,94.68,61.75,"1,138.97",67.82,29.24,143.71,35.58,113.68,148.92,192.45,18.79,22.38,9.78,41.80,21.82,34.92,79.00,167.43,140.98,78.02,93.28,45.61,197.45,40.82,19.19,21.72,424.65,18.42,86.22,74.12,53.33,262.99,74.18,22.27,200.86,12.59,130.48,31.72,97.77,28.42,21.60,39.45,46.21,61.31,23.06,95.76,47.87,456.04,114.57,37.74,777.34,,,,,,,,,,,,,,,
    Current charges,282.53,435.31,497.72,159.71,321.80,234.72,325.46,288.13,694.41,139.43,204.00,665.14,266.54,172.86,351.78,389.04,292.75,313.22,486.00,253.11,288.93,276.28,381.90,246.91,284.28,220.90,335.82,297.22,190.10,346.90,376.82,366.57,244.81,262.38,637.44,283.71,312.14,402.06,302.96,290.68,421.15,269.65,241.23,219.05,445.48,518.71,433.77,334.25,322.42,330.10,209.86,,,,,,,,,,,,,,,
    Miscellaneous general revenue,272.31,178.95,"8,797.38",168.95,190.17,147.33,247.36,335.64,888.30,259.96,175.33,275.26,279.87,246.92,228.33,240.74,186.58,258.57,324.37,378.38,269.00,513.42,261.02,263.91,155.51,223.30,351.15,252.50,147.72,442.93,407.02,615.83,348.01,170.02,243.58,225.12,164.14,484.37,246.57,532.39,175.72,408.33,94.87,227.89,238.87,343.09,294.20,197.61,283.51,287.16,"1,125.55",,,,,,,,,,,,,,,
  Utility revenue,15.59,0.00,35.61,4.40,0.00,4.89,0.00,7.20,11.58,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.43,0.00,18.55,12.41,0.00,0.00,0.00,0.00,0.00,0.00,15.22,0.07,57.98,0.00,125.37,0.00,0.00,0.00,81.79,0.00,0.00,10.01,189.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,,,,,,,,,,,,,,,
  Liquor stores revenue,12.91,32.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.90,0.00,0.00,32.86,0.00,0.00,0.00,56.77,0.00,0.00,52.35,0.00,53.91,0.00,38.61,0.00,0.00,214.76,0.00,0.00,0.00,0.00,0.00,38.26,0.00,61.10,64.66,0.00,0.00,0.00,0.00,0.00,48.99,47.16,38.07,51.84,25.77,0.00,80.35,,,,,,,,,,,,,,,
  Insurance trust revenue,827.77,521.29,"1,700.39","1,017.04",694.44,"1,032.79",644.89,624.50,944.45,"1,003.37",725.24,"1,078.79",865.32,554.04,236.48,389.28,250.67,767.21,904.15,845.57,949.36,383.47,353.52,"1,407.83",749.60,760.60,694.48,484.98,"1,533.30",664.61,"1,007.95","1,112.03",722.55,"1,242.58",932.39,"1,374.22",747.33,"1,284.17",907.74,653.97,797.71,"1,051.13",476.72,492.99,967.62,250.96,941.18,"1,512.68",859.06,617.59,577.64,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure,"3,447.45","3,154.51","9,451.27","2,854.79","3,192.49","3,683.57","2,840.04","4,433.71","4,660.32","2,628.99","2,844.13","4,912.34","3,081.03","2,962.58","2,919.58","3,398.90","2,921.57","3,439.88","3,414.70","3,702.21","3,228.65","4,423.90","3,810.62","3,897.71","3,392.27","2,815.68","3,705.10","2,858.88","3,089.81","2,934.21","3,906.57","4,340.77","4,805.33","3,260.45","3,959.02","3,497.86","2,973.88","4,102.92","3,399.88","4,010.54","3,538.86","3,041.05","2,720.72","2,584.30","3,557.69","3,884.54","3,022.86","4,021.59","3,947.10","3,656.81","4,516.52",,,,,,,,,,,,,,,
  Intergovernmental expenditure,"1,033.65",785.81,"1,601.20","1,075.96",831.26,"1,562.85",795.64,802.60,795.15,840.54,825.77,123.27,898.69,818.75,997.27,976.27,954.28,763.85,789.90,684.70,722.64,"1,011.10","1,571.77","1,274.41","1,045.09",767.95,809.38,776.52,"1,096.33",383.68,884.33,"1,259.09","1,500.46","1,050.62",848.35,"1,000.44",837.48,"1,129.45",846.37,554.40,819.11,668.09,722.54,709.88,817.70,601.82,833.43,"1,063.06",844.83,"1,432.21","1,477.54",,,,,,,,,,,,,,,
  Direct expenditure,"2,413.80","2,368.70","7,850.07","1,778.83","2,361.23","2,120.71","2,044.40","3,631.11","3,865.17","1,788.46","2,018.37","4,789.07","2,182.34","2,143.84","1,922.31","2,422.63","1,967.29","2,676.02","2,624.80","3,017.50","2,506.00","3,412.80","2,238.85","2,623.30","2,347.18","2,047.73","2,895.72","2,082.36","1,993.48","2,550.53","3,022.24","3,081.68","3,304.87","2,209.83","3,110.67","2,497.43","2,136.40","2,973.48","2,553.51","3,456.13","2,719.74","2,372.96","1,998.18","1,874.42","2,739.99","3,282.72","2,189.43","2,958.54","3,102.27","2,224.60","3,038.98",,,,,,,,,,,,,,,
    Current operation,"1,654.86","1,740.68","5,678.31","1,212.35","1,756.11","1,484.60","1,440.63","2,396.20","2,726.05","1,273.34","1,425.22","3,291.16","1,478.71","1,419.90","1,467.75","1,795.04","1,351.36","1,879.60","1,850.48","2,280.81","1,685.56","2,219.27","1,582.37","1,822.23","1,617.78","1,444.10","1,893.06","1,556.24","1,242.05","1,765.96","1,964.73","2,306.99","2,199.85","1,557.82","2,256.62","1,413.01","1,513.32","1,820.89","1,781.56","2,265.27","2,047.13","1,570.06","1,468.54","1,327.65","1,796.66","2,516.30","1,541.75","1,890.23","2,065.15","1,447.21","1,803.64",,,,,,,,,,,,,,,
    Capital outlay,238.87,173.60,622.64,190.32,296.76,110.82,226.48,258.65,466.01,222.94,262.19,545.57,248.75,166.73,207.47,277.98,291.51,294.97,273.81,159.54,240.80,474.34,165.43,234.57,368.42,226.89,393.46,293.34,253.78,203.04,335.31,225.15,355.11,274.76,402.10,260.41,197.38,237.52,182.69,231.07,225.51,427.22,261.36,185.86,565.32,219.77,262.23,292.86,342.90,200.03,589.57,,,,,,,,,,,,,,,
    Insurance benefits and repayments,338.05,254.38,893.13,263.61,209.37,415.23,294.02,499.40,294.46,166.46,190.30,502.05,300.13,305.51,160.21,221.45,243.76,317.44,341.61,309.67,336.76,314.15,300.36,371.60,250.87,206.29,388.90,113.63,353.94,183.64,531.55,343.01,468.50,256.32,312.74,624.83,300.34,723.96,373.56,518.65,278.85,169.01,165.04,235.82,222.25,187.73,184.09,521.43,493.81,406.11,453.79,,,,,,,,,,,,,,,
    Assistance and subsidies,79.75,153.51,262.92,79.39,50.25,35.79,22.59,176.61,92.26,56.11,90.16,160.60,64.57,117.71,37.77,87.35,50.70,75.67,61.75,132.40,123.25,112.38,101.71,129.44,53.40,82.62,67.72,54.90,31.53,72.61,38.42,118.84,51.47,69.85,57.25,123.38,53.39,92.03,115.45,168.77,66.73,47.85,65.56,79.13,79.26,152.60,104.37,158.33,59.86,49.31,61.20,,,,,,,,,,,,,,,
    Interest on debt,102.27,46.53,393.07,33.16,48.74,74.28,60.67,300.24,286.39,69.61,50.50,289.69,90.19,133.99,49.11,40.80,29.97,108.34,97.16,135.08,119.63,292.66,88.98,65.45,56.70,87.83,152.58,64.25,112.17,325.28,152.24,87.69,229.93,51.08,81.97,75.80,71.97,99.07,100.25,272.37,101.52,158.81,37.69,45.96,76.49,206.31,96.99,95.69,140.55,121.94,130.78,,,,,,,,,,,,,,,
Exhibit: Salaries and wages,518.84,579.63,"1,592.45",488.38,607.99,436.78,563.00,820.82,"1,116.22",470.27,440.29,"1,266.77",525.77,365.74,441.74,556.31,538.39,637.15,722.99,493.93,554.02,570.68,547.91,644.91,546.83,465.78,607.29,627.82,522.19,500.42,692.78,735.28,567.25,557.13,702.53,445.07,539.21,580.04,431.35,760.13,702.42,487.50,433.09,354.57,675.01,745.92,537.93,674.90,501.23,465.60,615.11,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total expenditure,"3,447.45","3,154.51","9,451.27","2,854.79","3,192.49","3,683.57","2,840.04","4,433.71","4,660.32","2,628.99","2,844.13","4,912.34","3,081.03","2,962.58","2,919.58","3,398.90","2,921.57","3,439.88","3,414.70","3,702.21","3,228.65","4,423.90","3,810.62","3,897.71","3,392.27","2,815.68","3,705.10","2,858.88","3,089.81","2,934.21","3,906.57","4,340.77","4,805.33","3,260.45","3,959.02","3,497.86","2,973.88","4,102.92","3,399.88","4,010.54","3,538.86","3,041.05","2,720.72","2,584.30","3,557.69","3,884.54","3,022.86","4,021.59","3,947.10","3,656.81","4,516.52",,,,,,,,,,,,,,,
  General expenditure,"3,067.94","2,866.64","8,518.09","2,585.31","2,983.12","3,265.75","2,544.63","3,873.11","4,307.97","2,457.93","2,653.84","4,410.29","2,748.22","2,657.07","2,759.37","3,154.78","2,677.82","3,120.43","3,072.43","3,354.01","2,820.21","4,091.81","3,470.02","3,526.11","3,098.08","2,609.39","3,282.22","2,745.25","2,688.38","2,564.86","3,200.74","3,997.76","4,064.26","3,004.13","3,646.29","2,849.66","2,597.49","3,341.64","2,966.56","3,453.21","3,088.11","2,872.04","2,554.98","2,348.48","3,298.90","3,645.50","2,803.08","3,457.53","3,429.17","3,250.70","3,991.85",,,,,,,,,,,,,,,
    Intergovernmental expenditure,"1,033.65",785.81,"1,601.20","1,075.96",831.26,"1,562.85",795.64,802.60,795.15,840.54,825.77,123.27,898.69,818.75,997.27,976.27,954.28,763.85,789.90,684.70,722.64,"1,011.10","1,571.77","1,274.41","1,045.09",767.95,809.38,776.52,"1,096.33",383.68,884.33,"1,259.09","1,500.46","1,050.62",848.35,"1,000.44",837.48,"1,129.45",846.37,554.40,819.11,668.09,722.54,709.88,817.70,601.82,833.43,"1,063.06",844.83,"1,432.21","1,477.54",,,,,,,,,,,,,,,
    Direct expenditure,"2,034.29","2,080.83","6,916.89","1,509.35","2,151.86","1,702.90","1,748.99","3,070.51","3,512.82","1,617.39","1,828.07","4,287.02","1,849.53","1,838.33","1,762.11","2,178.51","1,723.54","2,356.57","2,282.52","2,669.31","2,097.57","3,080.71","1,898.25","2,251.70","2,052.99","1,841.44","2,472.84","1,968.73","1,592.05","2,181.17","2,316.41","2,738.67","2,563.80","1,953.51","2,797.94","1,849.23","1,760.01","2,212.19","2,120.19","2,898.81","2,268.99","2,203.95","1,832.44","1,638.60","2,481.20","3,043.67","1,969.64","2,394.47","2,584.34","1,818.49","2,514.31",,,,,,,,,,,,,,,
"  General expenditure, by function:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Education,"1,092.81","1,232.12","1,967.25",940.90,"1,189.54","1,167.54","1,091.19",960.12,"1,441.06",844.38,"1,202.79","1,371.45","1,141.52",819.01,"1,158.34","1,308.04","1,231.29","1,161.96","1,105.05",941.50,929.01,891.07,"1,569.23","1,371.63","1,105.27","1,002.25","1,202.67","1,012.25","1,050.46",585.44,"1,042.55","1,509.93",957.51,"1,258.27","1,268.90","1,035.04","1,171.99","1,282.47",917.65,993.55,"1,097.13",870.45,905.95,"1,000.51","1,514.17","1,149.57","1,102.82","1,441.01","1,270.72","1,262.63","1,378.27",,,,,,,,,,,,,,,
    Public welfare,770.74,695.57,"1,236.02",567.23,707.82,930.97,604.66,927.44,674.25,547.06,613.93,770.60,484.18,739.30,559.10,676.77,415.57,836.02,677.04,"1,122.93",633.86,"1,005.55",696.27,964.72,685.98,607.01,528.97,666.56,414.08,780.29,645.06,735.02,"1,570.14",647.45,724.44,726.77,522.54,716.40,876.23,"1,029.22",770.36,555.15,772.76,548.25,496.21,956.85,503.65,762.80,909.70,575.69,548.11,,,,,,,,,,,,,,,
    Hospitals,107.23,217.90,42.85,13.38,146.27,74.43,37.98,322.17,76.39,33.66,91.63,194.19,36.76,66.98,36.76,187.76,108.42,112.80,277.51,39.73,65.58,85.35,113.94,49.07,169.38,84.69,45.26,84.66,47.22,39.58,125.95,184.06,184.11,109.94,70.52,90.49,76.87,142.53,128.15,78.86,184.40,55.07,102.33,116.66,168.25,14.68,187.66,103.27,43.27,93.34,60.69,,,,,,,,,,,,,,,
    Health,129.99,127.52,262.39,140.69,106.94,195.57,71.05,122.86,247.46,123.38,89.23,226.30,75.98,143.95,71.50,67.97,111.64,81.00,87.10,202.25,150.59,227.19,224.15,98.87,90.41,110.91,214.60,130.56,52.94,103.33,100.22,153.96,129.38,127.42,71.34,132.10,101.74,113.08,113.39,131.29,163.52,81.07,96.20,73.39,87.47,99.20,78.79,190.09,72.60,100.39,162.08,,,,,,,,,,,,,,,
    Highways,235.82,202.68,895.74,255.40,306.96,141.77,249.08,209.43,386.86,218.17,167.81,208.47,323.20,205.49,291.77,368.89,356.34,297.77,224.65,261.68,233.33,388.26,222.70,262.56,315.32,235.02,396.61,344.48,222.72,268.38,229.78,504.03,152.53,275.05,504.51,234.73,257.53,303.16,255.73,191.89,185.40,470.62,253.05,178.15,445.26,372.90,328.60,268.57,445.47,258.83,625.73,,,,,,,,,,,,,,,
    Police protection,29.80,23.48,94.40,28.86,24.88,35.07,15.76,34.89,72.99,22.64,19.71,5.84,29.33,27.59,30.37,22.99,17.12,32.84,47.52,32.51,53.36,49.92,26.06,24.15,20.24,28.48,39.56,28.25,25.09,27.66,31.14,31.47,23.06,33.80,16.88,18.55,8.18,42.13,58.59,25.79,44.36,23.22,18.99,14.73,29.18,54.25,51.29,37.96,24.11,11.74,29.12,,,,,,,,,,,,,,,
    Correction,113.43,59.10,258.64,153.68,81.13,105.24,156.00,146.73,191.26,129.52,112.15,101.30,100.80,88.54,75.83,79.42,96.99,77.31,102.47,58.12,144.57,140.20,133.92,70.35,80.16,84.81,98.71,71.44,117.67,51.13,131.47,113.03,130.51,129.93,49.51,122.17,124.30,143.89,102.45,128.05,110.21,77.91,81.28,131.50,89.38,66.17,137.39,99.30,66.26,125.31,86.26,,,,,,,,,,,,,,,
    Natural resources,50.19,41.45,431.08,33.37,63.80,63.74,39.29,22.33,57.29,71.60,54.64,73.01,95.83,23.73,28.44,76.89,60.12,61.49,82.20,94.71,59.70,40.91,38.40,83.90,69.26,45.46,168.31,81.79,35.75,27.70,37.36,49.12,18.88,59.89,130.32,27.56,45.82,80.56,42.10,38.19,48.30,108.03,32.58,32.52,63.24,108.63,21.89,87.63,77.61,59.08,248.40,,,,,,,,,,,,,,,
    Parks and recreation,16.58,4.65,27.67,10.25,19.48,8.28,12.36,12.93,47.35,8.95,21.35,41.86,17.02,18.49,9.80,6.87,2.35,26.99,63.31,7.38,46.28,23.01,4.75,26.47,50.39,7.00,8.06,16.24,10.58,6.92,76.31,24.14,20.71,17.95,12.52,9.97,15.85,10.40,10.09,34.44,13.03,28.17,22.86,3.36,12.20,15.16,8.22,13.62,26.70,10.68,38.38,,,,,,,,,,,,,,,
    Governmental administration,113.34,73.10,562.15,89.81,103.22,114.11,84.15,206.76,369.61,112.09,69.36,228.99,101.15,88.04,73.78,120.46,100.13,127.17,96.86,139.71,136.36,173.81,76.93,141.54,84.44,101.37,198.23,77.10,117.11,134.35,144.78,159.52,192.42,82.72,111.47,93.33,109.86,201.31,95.23,197.57,75.25,119.54,66.41,66.36,168.71,239.71,127.11,81.44,155.51,91.72,178.24,,,,,,,,,,,,,,,
    Interest on general debt,99.25,46.53,366.03,32.36,48.74,74.08,59.75,300.24,286.39,69.61,50.50,289.69,90.19,133.99,49.11,40.80,29.97,108.34,97.16,135.08,119.63,288.79,88.98,65.45,56.70,87.83,152.58,64.25,99.81,325.28,151.29,87.69,203.24,51.08,81.97,75.80,49.00,99.07,100.25,272.36,57.71,158.81,37.69,45.96,76.49,206.31,96.99,95.69,140.55,121.94,130.78,,,,,,,,,,,,,,,
    Other and unallocable,308.75,142.52,"2,373.86",319.38,184.34,354.95,123.36,607.21,457.07,276.87,160.74,898.60,252.27,301.95,374.56,197.92,147.87,196.72,211.56,318.42,247.95,777.76,274.69,367.40,370.53,214.57,228.66,167.68,494.94,214.79,484.82,445.80,481.79,210.63,603.90,283.15,113.80,206.63,266.69,331.98,338.44,324.01,164.89,137.09,148.34,362.06,158.67,276.15,196.67,539.36,505.80,,,,,,,,,,,,,,,
  Utility expenditure,31.01,0.00,40.05,5.87,0.00,2.59,1.38,61.20,57.89,4.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.01,0.67,0.00,71.67,17.94,0.00,0.00,0.00,0.00,0.00,0.00,47.49,0.48,174.28,0.00,272.56,0.00,0.00,0.00,76.06,0.25,0.00,38.68,171.90,0.00,0.70,0.00,0.00,6.79,0.85,0.00,1.95,0.00,0.00,,,,,,,,,,,,,,,
  Liquor stores expenditure,10.45,33.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.68,0.00,0.00,22.67,0.00,0.00,0.00,38.52,0.00,0.00,40.24,0.00,43.32,0.00,33.98,0.00,0.00,185.23,0.00,0.00,0.00,0.00,0.00,23.37,0.00,37.08,59.76,0.00,0.00,0.00,0.00,0.00,36.54,44.52,34.85,42.64,22.17,0.00,70.87,,,,,,,,,,,,,,,
  Insurance trust expenditure,338.05,254.38,893.13,263.61,209.37,415.23,294.02,499.40,294.46,166.46,190.30,502.05,300.13,305.51,160.21,221.45,243.76,317.44,341.61,309.67,336.76,314.15,300.36,371.60,250.87,206.29,388.90,113.63,353.94,183.64,531.55,343.01,468.50,256.32,312.74,624.83,300.34,723.96,373.56,518.65,278.85,169.01,165.04,235.82,222.25,187.73,184.09,521.43,493.81,406.11,453.79,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Debt at end of fiscal year,"1,790.81",957.39,"6,188.35",601.23,939.26,"1,538.29",915.95,"5,414.38","5,070.26","1,137.66",790.30,"4,786.03","1,532.71","2,101.61","1,136.47",708.94,536.74,"1,730.95","1,623.60","2,792.24","2,051.93","5,341.22","1,644.78","1,128.51",971.47,"1,487.77","2,565.48","1,147.73","1,648.93","4,529.33","3,353.50","1,480.64","4,030.44",911.32,"1,343.49","1,265.26","1,180.61","1,745.63","1,366.00","5,414.07","1,353.36","2,801.51",587.76,729.16,"1,635.98","3,570.57","1,594.40","1,808.56","1,895.68","2,052.41","2,169.85",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Cash and security holdings,"7,641.57","5,392.08","66,787.79","6,762.36","5,257.08","8,238.56","6,312.69","8,044.87","12,836.10","5,186.36","6,676.04","9,823.42","8,000.42","5,539.39","4,415.35","7,711.41","3,825.41","7,114.80","6,782.25","5,388.35","8,225.24","7,524.18","6,725.66","9,484.12","5,989.66","6,569.07","8,223.47","4,992.61","8,154.34","7,191.33","8,497.77","13,731.02","9,265.85","7,838.43","8,336.48","10,997.09","5,591.30","8,137.55","7,231.01","9,900.59","5,796.23","8,591.78","4,664.17","7,368.83","6,840.34","7,236.55","7,186.70","9,620.11","4,529.26","12,301.66","16,458.66",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
