"County","State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone	 not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Income.Median Houseold Income","Income.Per Capita Income","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2020 Population","Population.2010 Population","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Retail Sales","Employment.Firms.Total","Employment.Firms.Women-Owned","Employment.Firms.Men-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned"
"Licking County","OH","16.8","23.0","6.0","26.1","91.5","12173","0.3","2.3","4.2","2.1","0.1","2.4","90.8","89.1","72.9","64035","71200","170200","2.65","64589","31617","2.6","682.5","3.8","86.5","2958944","26.2","50.9","12600","178519","166492","243.9","212700","2454948","13336","4400","7470","694","12249","1440","11032"
"Limestone County","AL","15.2","22.3","5.5","25.7","84.7","6237","0.8","1.7","13.9","6.2","0.2","2.4","81.0","75.8","77.6","32143","36526","158800","2.86","59686","28411","3.7","559.94","6.7","86.5","841436","27.0","50.0","7168","103570","82782","147.8","81402","777105","5969","2245","3073","852","4938","759","5016"
"Limestone County","TX","19.9","22.0","6.1","14.8","81.1","1320","1.2","0.8","17.5","22.6","0.1","1.8","78.6","58.1","74.1","8377","10799","95400","2.68","44418","22595","9.4","905.29","18.9","86.4","193162","22.0","48.7","1517","22146","23384","25.8","22132","263781","1179","377","540","273","798","75","1011"
"Lincoln County","AR","15.9","16.3","4.0","9.7","81.1","540","0.6","0.4","30.0","4.2","0.0","1.5","67.6","64.1","77.1","3773","4969","76300","2.22","46596","14764","1.8","561.52","4.5","86.6","-1","25.8","38.6","757","12941","14134","25.2","-1","57506","663","252","319","170","470","26","578"
"Lincoln County","CO","17.6","20.4","5.6","12.6","90.9","386","1.4","1.0","5.5","14.8","0.1","1.9","90.1","77.0","70.6","1518","2511","147100","2.31","47258","16753","4.4","2577.63","9.7","91.6","-1","17.3","41.6","378","5675","5467","2.1","9595","183874","323","86","149","44","257","0","247"
"Lincoln County","GA","24.5","18.6","5.2","15.9","82.1","627","0.6","0.5","28.9","2.1","0.1","1.7","68.3","66.7","75.0","3475","4923","127700","2.23","39742","26918","0.9","210.38","2.5","93.6","10671","35.0","51.4","579","7690","7996","38.0","-1","38815","676","273","380","90","580","94","575"
"Lincoln County","ID","14.1","27.4","6.4","10.3","76.6","260","1.9","0.7","0.5","31.4","0.2","2.4","94.3","64.9","68.2","1724","2017","145600","3.08","50053","21656","15.6","1201.41","24.9","88.4","-1","29.6","48.2","307","5127","5208","4.3","1164","-1","356","64","160","0","309","0","320"
"Lincoln County","KS","25.4","21.7","4.8","22.8","93.3","233","0.9","0.4","0.7","3.7","-1.0","1.3","96.7","93.4","77.9","1248","1845","72700","2.39","45076","25803","0.4","719.4","2.4","91.3","-1","21.1","49.9","235","2939","3241","4.5","-1","9154","325","48","177","0","289","0","264"
"Lincoln County","KY","18.8","23.7","6.6","13.0","79.9","1619","0.3","0.3","2.2","1.7","0.0","1.5","95.7","94.3","78.3","9697","11094","106400","2.5","42919","21480","1.0","334.1","3.4","87.9","188068","28.7","51.0","1392","24275","24742","74.1","12577","145878","2089","459","1279","89","1966","243","1809"
"Lincoln County","ME","28.2","16.8","4.5","33.5","93.1","4657","0.4","0.8","0.6","1.3","0.0","1.4","96.8","95.7","79.2","15336","24162","215400","2.19","57720","33595","2.7","455.82","2.7","89.0","-1","25.8","51.0","3272","35237","34457","75.6","84629","421732","6466","1667","3503","84","6253","869","5193"
"Lincoln County","MN","25.1","23.4","6.2","19.3","91.9","494","0.5","0.5","0.3","2.3","0.1","1.2","97.4","95.5","78.8","2468","3145","103100","2.23","53077","30253","1.0","536.76","1.3","86.4","-1","23.0","49.5","422","5640","5896","11.0","-1","66946","578","74","387","0","550","34","497"
"Lincoln County","MO","13.7","25.4","7.1","16.8","89.5","3602","0.4","0.5","2.0","2.6","0.1","1.9","95.1","92.9","78.5","19286","21976","163300","2.89","64196","26848","1.2","626.56","1.7","87.8","387242","33.8","50.0","3654","59574","52566","83.9","-1","447830","4190","1406","2155","115","3948","551","3438"
"Lincoln County","MS","17.5","23.3","6.0","16.2","86.3","2718","0.2","0.4","30.3","1.3","0.0","1.1","67.9","66.9","75.3","12699","15706","99500","2.65","42606","23541","0.5","586.12","1.1","91.8","-1","27.2","52.2","1202","34907","34869","59.5","43588","540559","2307","851","1131","659","1550","172","1999"
"Lincoln County","MT","29.5","17.9","4.2","19.6","89.6","1715","1.3","0.4","0.4","3.3","0.1","2.8","94.8","92.3","80.3","8122","11610","198200","2.38","40140","25081","3.5","3612.92","5.3","89.0","16801","17.0","49.9","2365","19677","19687","5.4","26373","172571","2090","569","1055","48","1897","177","1745"
"Lincoln County","NC","17.9","21.1","5.2","23.0","87.9","6357","0.5","0.8","5.8","7.5","0.1","1.6","91.3","84.6","76.4","32894","37525","172000","2.5","57536","31771","4.7","297.94","7.0","89.0","1884896","30.3","50.4","5821","86810","78265","262.7","75439","789837","5274","1742","2876","558","4578","455","4547"
"Lincoln County","NE","20.1","23.4","6.0","23.2","93.5","2234","1.1","0.9","1.3","9.1","0.1","1.6","95.1","87.2","67.0","14856","16889","139400","2.32","59795","31567","2.8","2564.07","5.2","83.7","200760","15.5","50.4","2649","34676","36288","14.2","-1","728760","3224","1035","1625","100","2949","376","2503"
"Lincoln County","NM","29.2","18.2","4.7","25.8","89.5","1895","4.4","0.6","1.1","34.4","0.1","1.8","91.9","60.3","80.6","7566","18366","193900","2.54","46216","27454","7.9","4831.09","21.0","88.6","-1","18.1","51.3","1927","20269","20497","4.2","60518","279667","2794","1010","1108","513","2105","248","2381"
"Lincoln County","NV","25.3","19.7","5.2","19.6","86.2","312","1.9","0.7","3.3","7.8","0.4","2.5","91.3","84.5","74.8","2018","2826","140900","2.28","58462","26432","2.8","10633.2","5.3","83.2","-1","22.4","46.6","520","4499","5345","0.5","-1","-1","283","77","148","0","257","0","267"
"Lincoln County","OK","18.6","23.5","5.7","15.5","87.2","2477","7.3","0.4","2.0","3.6","0.1","5.7","84.5","81.9","79.7","12763","15442","110800","2.7","50671","25255","1.1","952.31","1.6","92.4","231515","30.3","50.2","2753","33458","34273","36.0","22632","239108","2368","814","1265","379","1927","309","1975"
"Lincoln County","OR","29.3","16.5","4.1","24.9","91.5","3607","4.0","1.4","0.9","9.5","0.2","3.9","89.6","82.0","65.6","21298","31945","251200","2.25","47882","27861","5.0","979.77","7.2","83.5","579399","18.8","51.7","5365","50395","46034","47.0","216441","580765","4827","1481","2413","384","4114","438","3992"
"Lincoln County","SD","13.4","27.7","7.2","37.6","94.8","5340","0.7","1.5","1.8","2.4","0.1","1.8","94.2","92.2","76.7","19749","21518","228800","2.85","82473","40059","2.6","577.28","4.7","83.9","-1","19.5","50.5","2988","65161","44828","77.7","-1","490576","4919","1477","2568","136","4614","476","4096"
"Lincoln County","TN","19.7","22.3","5.7","18.4","83.5","2449","0.8","0.5","7.0","3.8","0.2","2.1","89.3","86.3","75.1","13548","15714","135700","2.48","49485","26965","2.0","570.34","2.9","88.5","-1","28.8","51.1","2312","35319","33361","58.5","26674","316837","2871","814","1500","164","2626","408","2216"
"Lincoln County","WA","25.9","21.7","5.4","25.1","92.7","688","2.0","0.5","0.6","3.6","0.1","2.8","93.8","90.8","78.0","4525","6158","162800","2.31","54631","28891","1.7","2310.49","2.1","89.1","-1","24.1","49.1","1106","10876","10570","4.6","-1","106903","692","294","240","0","627","89","529"
"Lincoln County","WI","22.2","18.2","4.7","18.4","92.0","1667","0.6","0.6","0.9","1.7","0.0","1.3","96.6","95.2","78.1","12625","17335","139700","2.14","58541","30972","0.9","878.97","2.6","87.2","772368","22.6","49.3","2051","28415","28743","32.7","27601","308735","2211","548","1326","0","2131","167","1838"
"Lincoln County","WV","20.0","22.2","5.5","9.0","80.9","723","0.1","0.2","0.4","0.7","0.0","1.1","98.2","97.5","77.8","8208","9964","84200","2.53","42345","21456","0.3","437.04","0.4","95.4","2216","34.9","50.5","1283","20463","21720","49.7","-1","80307","737","398","288","0","700","42","661"
"Lincoln County","WY","18.0","26.4","6.5","23.7","92.8","2150","1.1","0.6","0.6","4.6","0.1","1.6","96.2","92.3","82.4","6908","9698","246400","2.77","66964","29747","2.8","4076.13","4.2","84.8","-1","27.8","49.0","1346","19581","18106","4.4","18031","180589","2201","602","969","51","2068","169","1897"
"Lincoln Parish","LA","14.0","19.9","5.6","35.6","88.5","3123","0.5","1.6","40.7","3.1","0.1","1.3","55.9","53.6","51.5","17712","20576","154500","2.49","35467","22863","4.2","471.74","4.9","78.1","421601","19.2","51.3","2213","48396","46735","99.1","90990","592587","3224","1017","1532","599","2448","274","2738"
"Linn County","IA","16.3","23.0","6.2","33.1","94.5","13608","0.3","2.6","6.1","3.4","0.2","2.7","88.1","85.2","73.8","90877","98821","157000","2.41","64903","34545","4.4","716.88","5.8","85.8","10073869","18.8","50.7","13891","230299","211226","294.6","388776","4483322","16511","5791","8075","952","14913","1686","13717"
"Linn County","KS","23.1","21.8","4.9","16.2","89.7","696","0.8","0.4","0.9","2.9","0.1","2.3","95.6","93.0","77.5","4497","5694","110100","2.14","48778","27926","0.4","594.06","0.9","91.6","-1","33.9","49.3","708","9591","9656","16.3","-1","53498","930","250","549","0","897","160","753"
"Linn County","MO","21.4","23.3","5.7","16.9","89.4","883","0.4","0.3","0.9","2.8","0.1","1.7","96.6","94.2","72.9","5106","6383","87200","2.34","45930","25130","0.9","615.56","1.8","89.5","207546","20.7","51.3","748","11874","12761","20.7","7809","150002","1141","223","727","0","1089","128","875"
"Linn County","OR","19.1","22.3","6.0","19.3","89.5","6357","1.7","1.3","0.8","9.5","0.2","3.6","92.5","84.3","64.4","47762","51398","221600","2.59","55893","27345","4.4","2290.13","7.9","83.9","2253615","22.8","50.5","10789","128610","116672","50.9","130424","1181597","7057","2446","3135","537","6157","604","5832"
"Lipscomb County","TX","19.1","25.3","5.8","19.7","82.1","291","2.2","0.8","2.1","34.5","0.2","2.9","91.9","60.7","73.8","1192","1506","100900","2.82","59091","28131","12.8","932.18","25.3","87.6","-1","20.1","48.9","168","3059","3302","3.5","-1","98140","534","145","233","93","415","0","510"
"Litchfield County","CT","22.0","18.0","4.1","35.4","93.0","17272","0.3","2.2","2.4","7.1","0.1","1.7","93.3","87.4","76.5","74143","88428","251000","2.41","79906","44480","8.0","920.56","10.3","90.5","2615264","28.7","50.5","11384","185186","189927","206.3","265230","2654993","20187","6092","12048","1330","18350","1755","17666"
"Little River County","AR","20.9","22.4","5.8","12.5","89.0","562","1.7","0.5","19.9","3.7","0.1","2.5","75.5","72.6","71.5","5363","6545","77900","2.27","45113","25759","0.4","532.25","1.7","85.7","-1","27.0","51.8","834","12026","13171","24.7","-1","104240","656","211","367","74","555","85","548"
"Live Oak County","TX","20.8","19.8","5.5","12.2","76.9","1033","1.2","0.8","4.8","40.8","0.1","1.1","92.0","52.9","82.0","3752","6320","104100","2.85","53848","25370","6.2","1039.7","30.5","85.0","-1","30.4","45.1","924","11335","11531","11.1","27604","262970","1001","316","555","230","718","106","786"
"Livingston County","IL","19.4","21.6","5.8","14.8","89.9","1927","0.3","0.9","4.3","4.8","0.0","1.6","92.9","88.8","72.8","14307","15907","109400","2.36","55160","27925","2.1","1044.29","3.8","88.1","1210526","21.5","49.8","2546","35815","38950","37.3","36215","479427","2591","763","1373","31","2423","226","2143"
"Livingston County","KY","22.5","20.2","5.4","11.8","83.8","562","0.5","0.4","0.6","2.5","0.1","1.7","96.6","94.6","79.3","3857","4889","102400","2.38","50839","27728","0.3","313.13","1.7","91.9","-1","23.1","50.9","538","8888","9519","30.4","-1","47093","618","224","334","0","583","58","520"
"Livingston County","MI","17.9","20.8","5.0","35.4","95.2","15408","0.5","1.0","0.7","2.6","0.1","1.4","96.4","94.1","85.4","72000","77728","247100","2.62","84221","40351","2.9","565.25","2.9","91.1","3252331","32.6","49.9","10779","193866","180967","320.2","226306","2410171","17931","5791","10026","633","16630","1538","15528"
"Livingston County","MO","19.5","21.0","5.8","18.8","86.7","1036","0.5","0.8","3.7","2.0","0.0","1.6","93.4","91.8","66.6","5915","6869","111500","2.32","46992","23587","0.7","532.33","1.7","86.5","152741","17.6","56.4","889","14557","15195","28.5","-1","359095","1208","325","695","56","1066","114","932"
"Livingston County","NY","18.3","17.6","4.2","26.5","90.6","3574","0.5","1.4","3.0","3.9","0.1","1.7","93.5","90.5","74.7","24176","27725","129400","2.37","59510","28701","3.6","631.76","6.9","86.4","635936","25.7","49.8","3745","61834","65393","103.5","80444","633605","4103","1436","2304","113","3824","325","3527"
"Livingston Parish","LA","13.3","25.5","6.7","19.7","85.2","9797","0.5","0.7","7.1","4.1","0.1","1.3","90.3","86.8","81.8","48410","58646","167100","2.85","63389","29354","2.2","648.17","4.3","90.5","504021","34.5","50.8","7350","142282","128026","197.5","115903","1180546","10280","3641","5510","1105","8905","1216","8661"
"Llano County","TX","37.3","15.1","4.1","25.3","85.8","2234","0.9","0.6","1.2","10.8","0.0","1.4","95.9","86.0","78.1","8678","15789","194800","2.4","53411","37050","4.2","934.03","6.4","85.1","-1","31.0","51.6","2522","21243","19301","20.7","64205","135268","2450","846","1195","167","2223","238","2103"
"Logan County","AR","20.5","21.3","5.8","13.3","86.2","1235","1.2","2.3","1.5","3.0","0.0","1.9","93.2","90.6","73.7","8417","10183","99000","2.5","41466","21491","1.5","708.13","3.5","82.3","-1","25.5","50.2","1476","21131","22353","31.6","9338","152762","1575","438","894","62","1470","343","1146"
"Logan County","CO","18.1","17.9","5.1","20.2","89.6","1417","1.8","1.0","4.5","17.2","0.1","1.5","91.1","75.6","65.2","8393","9148","157900","2.54","53318","26727","4.5","1838.55","10.3","78.7","213030","18.3","42.8","1828","21528","22709","12.4","26201","320041","1552","387","894","61","1355","179","1281"
"Logan County","IL","18.6","19.2","5.3","19.9","88.7","1387","0.4","0.8","8.5","3.5","0.0","1.6","88.7","85.9","72.7","10797","12029","103200","2.31","57308","27546","1.6","618.06","4.6","84.1","555333","21.9","49.2","1890","27987","30305","49.0","30990","292327","1981","720","993","82","1749","209","1617"
"Logan County","KS","21.2","24.1","7.5","16.6","91.0","276","0.6","0.9","0.8","6.9","-1.0","1.8","95.9","89.7","69.2","1153","1445","86600","2.4","51740","28135","2.1","1072.99","2.8","87.8","-1","16.2","50.1","163","2762","2756","2.6","-1","35330","488","150","280","0","474","46","431"
"Logan County","KY","18.6","23.3","6.5","16.4","84.9","1779","0.5","0.3","6.3","3.0","0.0","2.1","90.7","88.4","69.7","10418","12357","111000","2.55","48014","24221","1.4","552.13","3.1","87.8","2571453","23.9","50.5","1369","27432","26835","48.6","-1","264873","2123","686","1167","177","1877","212","1815"
"Logan County","ND","26.6","22.5","6.2","19.6","88.0","183","0.8","0.4","0.4","2.6","-1.0","1.7","96.6","94.6","83.9","849","1155","86800","2.11","59375","32619","1.0","992.82","9.2","92.8","-1","14.0","48.2","114","1876","1990","2.0","1282","30492","161","44","76","0","154","28","126"
"Logan County","NE","22.6","23.4","5.6","19.6","94.0","63","0.9","0.4","0.1","3.7","-1.0","1.3","97.2","93.4","73.8","347","395","110300","2.67","52708","24355","4.9","570.66","4.2","85.9","-1","24.5","47.1","79","716","763","1.3","-1","-1","40","0","0","0","36","0","28"
"Logan County","OH","18.7","23.1","6.1","16.5","92.6","2988","0.3","0.7","1.8","2.1","0.0","2.3","94.7","93.0","74.2","18677","23501","131900","2.4","56754","29424","1.4","458.43","3.6","87.2","6790059","22.1","50.4","3052","46150","45858","100.0","56488","442323","2908","1078","1513","117","2667","335","2408"
"Logan County","OK","16.4","22.6","5.7","27.7","90.1","4022","3.7","0.7","8.1","6.7","0.1","4.6","82.8","77.4","82.9","15512","17574","169500","2.87","65357","31105","3.5","743.83","5.1","88.2","97588","28.0","50.4","3337","49555","41848","56.3","37294","343943","4007","1159","2265","707","3120","447","3349"
"Logan County","WV","21.1","20.5","5.4","10.0","79.8","1150","0.1","0.3","1.8","1.0","0.0","1.0","96.8","95.9","72.6","13816","16867","89100","2.36","36168","21936","0.2","453.74","0.6","89.3","157849","27.3","50.7","1637","32567","36743","81.0","48291","551188","1802","735","919","63","1623","126","1568"
"Long County","GA","10.2","27.2","7.4","17.4","87.7","790","0.9","1.3","27.5","11.0","0.4","4.2","65.6","57.2","69.1","5695","7161","122100","3.26","54605","22639","5.5","400.29","12.3","78.1","-1","31.6","49.5","2665","16168","14464","36.1","-1","16175","576","154","390","221","346","94","474"
"Lonoke County","AR","13.8","25.4","6.5","20.6","89.1","4706","0.7","0.9","6.3","4.6","0.1","2.1","89.8","85.8","69.2","26895","30115","142500","2.67","59094","27293","2.3","770.73","4.2","88.3","628542","28.0","50.9","6686","74015","68356","88.7","59963","613431","5024","1626","2835","406","4481","482","4361"
"Lorain County","OH","18.8","21.8","5.5","24.9","89.7","18604","0.4","1.4","9.0","10.4","0.1","3.1","86.2","77.7","72.3","120281","132798","150500","2.48","58427","30928","2.9","491.1","7.2","86.8","7327971","24.6","50.8","19800","312964","301356","613.6","397014","3707277","20914","7095","11319","2519","17554","1845","17889"
"Los Alamos County","NM","18.1","22.0","5.2","67.4","97.6","1100","1.4","6.6","1.4","18.5","0.1","2.6","87.9","71.2","74.1","7931","8401","302800","2.34","121324","60746","9.8","109.17","14.3","88.0","-1","16.2","48.9","1429","19419","17950","164.4","23809","103227","1352","592","509","246","986","90","1111"
"Los Angeles County","CA","14.1","21.4","5.8","32.5","79.1","1107080","1.4","15.4","9.0","48.6","0.4","3.1","70.7","26.1","45.8","3316795","3579329","583200","2.99","68044","34156","34.0","4057.88","56.6","89.7","163829606","31.8","50.7","261742","10014009","9818605","2419.6","22965135","121389378","1146701","439513","601676","631218","481643","69608","1044750"
"Loudon County","TN","26.9","19.1","4.9","26.4","86.2","3591","0.6","0.9","1.6","9.2","0.2","1.3","95.4","87.1","77.8","20669","23739","222500","2.51","58065","31478","7.2","229.22","8.7","88.9","1424151","22.7","50.7","4198","54886","48556","211.8","64561","484020","4050","1276","2073","171","3698","532","3079"
"Loudoun County","VA","9.7","27.9","6.8","61.3","93.9","37251","0.5","20.3","8.1","13.9","0.1","3.9","67.0","54.8","78.0","128637","139974","508100","3.06","142299","55744","24.5","515.56","31.6","87.4","1636892","34.5","50.4","21956","420959","312311","605.8","877045","5140369","33392","12179","17450","12053","19974","2922","28790"
"Louisa County","IA","19.4","21.9","6.0","14.9","84.1","638","0.5","3.5","1.1","16.1","0.1","1.4","93.4","78.4","76.9","4335","5060","108800","2.55","56673","29021","9.0","401.77","17.8","91.2","-1","22.2","49.0","563","10837","11387","28.3","4136","60672","846","267","534","57","763","133","657"
"Louisa County","VA","20.3","20.1","5.4","24.1","85.2","2329","0.6","0.6","15.6","3.3","0.1","2.3","80.8","78.1","80.0","13871","17916","223100","2.59","60975","34041","3.6","496.3","4.8","89.1","426830","36.7","50.5","3259","37596","33153","66.8","18177","276447","2460","812","1349","378","2023","289","2013"
"Loup County","NE","26.2","20.9","5.7","25.3","98.1","80","0.3","0.2","0.8","3.9","-1.0","-1.0","98.8","95.0","76.5","294","468","112500","2.06","51000","27726","0.0","568.29","0.0","94.8","-1","26.3","49.2","34","607","632","1.1","-1","-1","125","0","0","0","125","0","99"
"Love County","OK","19.6","24.0","6.3","13.5","82.4","655","7.6","0.7","2.8","16.2","0.0","5.2","83.7","70.0","76.7","3268","4594","111700","3.05","49399","22036","6.4","514.0","13.1","90.5","-1","23.1","49.9","587","10146","9423","18.3","53805","77374","686","249","357","124","529","42","618"
"Loving County","TX","13.6","29.0","6.5","0.0","80.3","18","0.6","1.2","3.6","13.6","-1.0","-1.0","94.7","81.1","63.3","30","55","-1","3.27","83750","33624","12.2","668.93","19.5","100.0","-1","-1.0","42.0","4","64","82","0.1","-1","-1","0","0","0","0","0","0","0"
"Lowndes County","AL","19.8","22.0","6.0","14.7","78.3","623","0.3","0.5","72.4","1.9","0.0","0.7","26.0","25.1","74.3","4251","5274","70000","2.35","30036","20209","0.8","715.91","0.4","88.7","2374969","31.5","53.0","300","10311","11299","15.8","1692","100834","884","433","406","585","282","49","810"
"Lowndes County","GA","12.6","24.1","6.8","25.3","86.6","7548","0.5","2.2","37.4","6.0","0.2","2.3","57.6","53.0","52.3","41282","49490","140600","2.69","42441","23348","3.4","496.07","5.8","84.6","2600314","19.7","51.7","7858","118251","109233","220.2","245767","1748485","8296","2967","4312","2189","5541","936","6738"
"Lowndes County","MS","16.3","23.7","6.6","23.4","86.0","4042","0.3","1.0","44.8","2.1","0.1","1.1","52.8","51.2","63.5","22436","27515","134200","2.56","50441","26438","2.3","505.51","3.1","86.7","3543897","20.0","52.4","4323","58879","59779","118.3","98523","736479","4847","1726","2594","1439","3149","579","3956"
"Lubbock County","TX","12.7","23.7","6.5","30.1","86.2","23724","1.2","2.4","7.9","36.3","0.1","1.9","86.5","52.7","55.2","113488","130773","140600","2.58","52429","27922","5.9","895.6","21.6","74.7","1572904","17.3","50.7","14404","310639","278831","311.3","-1","4796568","24033","7661","13054","5379","17682","2239","20311"
"Lucas County","IA","22.4","22.8","6.6","17.0","92.1","629","0.4","0.4","0.6","2.4","0.0","1.0","97.6","95.7","78.1","3701","4204","96400","2.29","55205","31069","3.0","430.59","5.2","89.0","-1","21.6","48.8","559","8634","8898","20.7","-1","86141","690","193","398","0","664","146","521"
"Lucas County","OH","16.7","23.0","6.4","26.3","89.3","25214","0.4","1.7","20.3","7.4","0.1","3.3","74.2","68.2","59.7","179930","203798","116600","2.34","48736","29226","3.7","340.86","6.7","83.6","27736619","20.9","51.6","22882","431279","441815","1296.2","823033","5977896","32125","10880","17865","5648","25200","2782","27656"
"Luce County","MI","21.1","16.1","4.5","18.4","88.4","330","5.6","0.2","12.0","1.7","0.1","3.7","78.4","77.2","79.5","2231","4385","87200","2.35","45469","22350","1.8","899.08","4.9","84.3","69220","13.3","40.4","522","5339","6631","7.4","6951","84246","637","295","299","0","608","90","504"
"Lumpkin County","GA","17.8","17.2","4.4","26.4","84.8","2613","0.8","0.8","1.7","5.1","0.1","1.9","94.7","90.2","70.7","11570","13863","185800","2.67","51790","27155","3.9","282.93","5.2","82.5","99975","28.4","50.4","2208","33488","29966","105.9","46664","192262","2451","677","1524","67","2333","266","2124"
"Luna County","NM","21.2","26.0","7.5","12.5","69.8","978","2.5","1.1","1.9","67.9","0.2","1.8","92.6","28.5","60.9","8904","11355","86900","2.65","29360","17168","17.8","2965.19","49.7","86.7","-1","19.4","49.5","1549","25427","25095","8.5","32365","209979","1353","463","565","713","538","92","1130"
"Lunenburg County","VA","22.7","18.9","5.3","11.3","77.8","616","0.5","0.3","33.9","5.4","0.2","2.2","62.9","58.9","71.8","4293","5998","119500","2.63","44303","19848","6.1","431.68","4.8","94.4","99369","30.3","47.1","1085","11936","12914","29.9","-1","51265","900","283","547","183","697","78","780"
"Luzerne County","PA","20.2","19.7","5.3","22.9","89.8","17477","0.7","1.4","6.6","13.8","0.1","2.0","89.3","79.3","68.0","128660","150496","127000","2.37","53473","28972","6.7","890.33","12.1","87.3","6627995","22.9","50.5","21704","325594","320918","360.4","515557","8097008","21934","6611","13109","2156","18842","2264","18271"
"Lycoming County","PA","19.8","20.4","5.3","23.4","90.1","6347","0.3","0.7","4.8","2.2","0.0","2.2","92.0","90.3","69.2","45608","53642","155800","2.37","54241","27950","2.0","1228.59","3.7","86.1","3186668","21.0","51.0","8898","114188","116111","94.5","237891","1878105","8112","2326","4612","274","7456","872","6652"
"Lyman County","SD","16.2","29.4","8.7","20.3","89.7","240","40.4","0.4","0.6","2.6","0.1","3.3","55.3","54.7","67.2","1397","1751","102800","2.7","53862","22850","0.8","1641.94","7.8","92.7","-1","13.0","48.2","130","3718","3755","2.3","9650","54526","303","108","179","32","265","96","198"
"Lynchburg city","VA","14.1","19.2","6.1","35.6","88.7","-1","0.3","2.4","28.6","4.2","0.0","2.5","65.0","62.3","48.7","28273","-1","160100","2.48","46409","23863","5.2","49.13","6.7","78.8","2749591","17.4","53.2","4755","79009","75568","1538.2","216412","1995200","5519","1719","2735","1165","3973","494","4540"
"Lynn County","TX","16.4","27.3","6.9","17.3","75.4","442","1.9","0.4","2.6","46.8","0.0","1.9","93.3","49.9","68.3","2154","2672","84000","2.68","43382","24917","5.5","891.87","28.9","81.3","-1","20.0","48.7","287","5596","5915","6.6","-1","18483","298","100","130","47","237","39","246"
"Lyon County","IA","18.4","28.1","7.5","20.7","90.6","1036","0.5","0.4","0.4","2.8","0.2","1.2","97.3","95.1","85.4","4548","5110","146900","2.55","64982","29124","1.7","587.65","3.2","91.9","111769","18.6","49.2","638","11934","11581","19.7","-1","106633","1036","246","519","40","940","119","876"
"Lyon County","KS","15.6","22.2","5.9","27.5","88.3","1680","1.4","2.7","2.5","21.8","0.1","3.0","90.2","70.5","60.0","13569","15409","106800","2.34","46338","26904","10.2","847.47","17.9","76.2","2034037","15.9","51.4","1696","32179","33690","39.8","50026","493918","2558","727","1320","197","2166","210","2108"
"Lyon County","KY","26.0","14.4","3.1","16.9","87.8","499","0.4","0.5","5.8","2.2","0.0","1.4","91.8","89.8","79.4","3333","4928","141500","2.1","52528","26994","1.6","213.84","2.7","86.7","-1","21.9","44.0","877","8680","8314","38.9","-1","65137","641","120","419","0","607","74","535"
"Lyon County","MN","16.5","25.7","7.2","26.1","92.0","1839","0.8","4.7","3.4","7.2","0.1","1.5","89.6","83.3","68.4","10018","11350","148900","2.44","57730","29634","8.0","714.56","11.4","85.5","1131204","15.1","50.1","1306","25269","25857","36.2","40066","458861","1983","485","1188","54","1811","85","1773"
"Lyon County","NV","21.2","21.4","5.7","14.4","86.9","2788","3.4","1.6","1.4","18.1","0.3","3.9","89.4","73.8","70.7","21189","24020","214900","2.56","56875","27855","6.9","2001.19","14.3","86.4","729936","28.7","48.9","6109","59235","51980","26.0","31233","465510","2844","1041","1417","317","2357","269","2346"
"Mackinac County","MI","28.6","15.7","4.1","23.3","90.7","852","16.5","0.9","3.5","2.0","0.0","5.1","74.0","72.6","71.9","5269","11295","136600","1.99","47938","28966","3.4","1021.57","4.9","87.9","-1","20.8","49.2","1029","10834","11113","10.9","122144","121927","1310","424","655","117","1096","219","1003"
"Macomb County","MI","17.4","20.8","5.4","24.9","89.9","68207","0.3","4.3","12.6","2.8","0.0","2.5","80.3","78.0","73.3","346402","369479","166800","2.49","62855","32238","11.2","479.22","14.2","88.0","27017325","27.9","51.3","47881","881217","840978","1754.9","1263144","11304239","72641","25548","40845","10765","60452","6425","63988"
"Macon County","AL","20.9","17.1","4.8","20.4","81.8","995","0.3","0.6","80.4","1.9","0.0","1.4","17.3","16.5","65.5","7474","10321","80800","2.2","33370","20419","0.6","608.89","2.5","90.5","-1","24.0","54.5","1345","19532","21452","35.2","29031","93239","1399","704","638","1089","268","159","1188"
