"Category","Description","Nutrient Data Bank Number","Data.Alpha Carotene","Data.Beta Carotene","Data.Beta Cryptoxanthin","Data.Carbohydrate","Data.Cholesterol","Data.Choline","Data.Fiber","Data.Lutein and Zeaxanthin","Data.Lycopene","Data.Niacin","Data.Protein","Data.Retinol","Data.Riboflavin","Data.Selenium","Data.Sugar Total","Data.Thiamin","Data.Water","Data.Fat.Monosaturated Fat","Data.Fat.Polysaturated Fat","Data.Fat.Saturated Fat","Data.Fat.Total Lipid","Data.Major Minerals.Calcium","Data.Major Minerals.Copper","Data.Major Minerals.Iron","Data.Major Minerals.Magnesium","Data.Major Minerals.Phosphorus","Data.Major Minerals.Potassium","Data.Major Minerals.Sodium","Data.Major Minerals.Zinc","Data.Vitamins.Vitamin A - RAE","Data.Vitamins.Vitamin B12","Data.Vitamins.Vitamin B6","Data.Vitamins.Vitamin C","Data.Vitamins.Vitamin E","Data.Vitamins.Vitamin K"
"Sweet potato","Sweet potato, cooked, boiled, without skin","11510","0","9444","0","17.72","0","10.8","2.5","0","0","0.538","1.37","0","0.047","0.2","5.74","0.056","80.13","0.0","0.061","0.031","0.14","27","0.094","0.72","18","32","230","27","0.2","787","0.0","0.165","12.8","0.94","2.1"
"Sweet potato","Sweet potato, canned, vacuum pack","11512","0","4790","0","21.12","0","13.0","1.8","0","0","0.741","1.65","0","0.057","0.7","5.0","0.037","76.03","0.008","0.084","0.041","0.2","22","0.139","0.89","22","49","312","53","0.18","399","0.0","0.19","26.4","1.0","2.2"
"Taro","Taro, raw","11518","0","35","20","26.46","0","17.3","4.1","0","0","0.6","1.5","0","0.025","0.7","0.4","0.095","70.64","0.016","0.083","0.041","0.2","43","0.172","0.55","33","84","591","11","0.23","4","0.0","0.283","4.5","2.38","1.0"
"Taro leaves","Taro leaves, raw","11520","0","2895","0","6.7","0","12.8","3.7","1932","0","1.513","4.98","0","0.456","0.9","3.01","0.209","85.66","0.06","0.307","0.151","0.74","107","0.27","2.25","45","60","648","3","0.41","241","0.0","0.146","52.0","2.02","108.6"
"Tomatoes","Tomatoes, green, raw","11527","78","346","0","5.1","0","8.6","1.1","0","0","0.5","1.2","0","0.04","0.4","4.0","0.06","93.0","0.03","0.081","0.028","0.2","13","0.09","0.51","10","28","204","13","0.07","32","0.0","0.081","23.4","0.38","10.1"
"Tomatoes","Tomatoes, red, ripe, raw, year round average","11529","101","449","0","3.89","0","6.7","1.2","123","2573","0.594","0.88","0","0.019","0.0","2.63","0.037","94.52","0.031","0.083","0.028","0.2","10","0.059","0.27","11","24","237","5","0.17","42","0.0","0.08","13.7","0.54","7.9"
"Tomatoes","Tomatoes, red, ripe, canned, packed in tomato juice","11531","0","245","0","3.47","0","6.4","1.9","78","2537","0.712","0.79","0","0.055","0.7","2.55","0.575","94.75","0.04","0.101","0.034","0.25","33","0.052","0.57","10","17","191","115","0.12","20","0.0","0.111","12.6","0.59","2.6"
"Tomato juice","Tomato juice, canned, with salt added","11540","0","270","0","3.53","0","6.8","0.4","60","9037","0.673","0.85","0","0.078","0.5","2.58","0.1","94.24","0.005","0.027","0.019","0.29","10","0.042","0.39","11","19","217","253","0.11","23","0.0","0.07","70.1","0.32","2.3"
"Tomato products","Tomato products, canned, paste, without salt added (Includes foods for USDA's Food Distribution Program)","11546","29","901","0","18.91","0","38.5","4.1","0","28764","3.076","4.32","0","0.153","5.3","12.18","0.06","73.5","0.067","0.16","0.1","0.47","36","0.365","2.98","42","83","1014","59","0.63","76","0.0","0.216","21.9","4.3","11.4"
"Tomato products","Tomato products, canned, puree, without salt added","11547","0","306","0","8.98","0","17.6","1.9","0","21754","1.466","1.65","0","0.08","0.7","4.83","0.025","87.88","0.031","0.086","0.029","0.21","18","0.287","1.78","23","40","439","28","0.36","26","0.0","0.126","10.6","1.97","3.4"
"Tomato products","Tomato products, canned, sauce","11549","0","259","3","5.31","0","9.9","1.5","24","13895","0.991","1.2","0","0.065","0.6","3.56","0.024","91.28","0.045","0.121","0.041","0.3","14","0.115","0.96","15","27","297","474","0.22","22","0.0","0.098","7.0","1.44","2.8"
"Turnips","Turnips, raw","11564","0","0","0","6.43","0","11.1","1.8","0","0","0.4","0.9","0","0.03","0.7","3.8","0.04","91.87","0.006","0.053","0.011","0.1","30","0.085","0.3","11","27","191","67","0.27","0","0.0","0.09","21.0","0.03","0.1"
"Turnip greens","Turnip greens, cooked, boiled, drained, without salt","11569","0","4575","0","4.36","0","0.3","3.5","8440","0","0.411","1.14","0","0.072","0.9","0.53","0.045","93.2","0.015","0.091","0.053","0.23","137","0.253","0.8","22","29","203","29","0.14","381","0.0","0.18","27.4","1.88","367.6"
"Turnip greens","Turnip greens, frozen, cooked, boiled, drained, without salt","11575","0","6459","0","4.98","0","0.5","3.4","11915","0","0.468","3.35","0","0.074","1.2","0.75","0.054","90.4","0.028","0.17","0.099","0.42","152","0.15","1.94","26","34","224","15","0.41","538","0.0","0.067","21.8","2.66","518.9"
"Vegetable juice cocktail","Vegetable juice cocktail, canned","11578","93","377","0","3.87","0","8.1","0.5","278","7119","0.722","0.93","0","0.033","0.2","2.84","0.05","94.09","0.06","0.076","0.088","0.31","14","0.068","0.28","11","19","185","169","0.12","35","0.0","0.071","54.3","1.02","6.1"
"Vegetables","Vegetables, mixed, frozen, cooked, boiled, drained, without salt","11584","968","2082","0","13.09","0","24.1","4.4","637","0","0.851","2.86","0","0.12","0.3","3.12","0.071","83.23","0.01","0.072","0.031","0.15","25","0.083","0.82","22","51","169","35","0.49","214","0.0","0.074","3.2","0.38","23.5"
"Waterchestnuts","Waterchestnuts, chinese, canned, solids and liquids","11590","0","0","0","12.3","0","18.5","2.5","0","0","0.36","0.88","0","0.024","0.7","2.46","0.011","86.42","0.001","0.026","0.016","0.06","4","0.1","0.87","5","19","118","8","0.38","0","0.0","0.159","1.3","0.5","0.2"
"Watercress","Watercress, raw","11591","0","1914","0","1.29","0","9.0","0.5","5767","0","0.2","2.3","0","0.12","0.9","0.2","0.09","95.11","0.008","0.035","0.027","0.1","120","0.077","0.2","21","60","330","41","0.11","160","0.0","0.129","43.0","1.0","250.0"
"Waxgourd","Waxgourd, (chinese preserving melon), cooked, boiled, drained, without salt","11594","0","0","0","3.04","0","4.9","1.0","197","0","0.384","0.4","0","0.001","0.2","1.18","0.034","96.06","0.037","0.088","0.016","0.2","18","0.022","0.38","10","17","5","107","0.59","0","0.0","0.032","10.5","0.08","2.8"
"Yam","Yam, cooked, boiled, drained, or baked, without salt","11602","0","73","0","27.48","0","16.2","3.9","0","0","0.552","1.49","0","0.028","0.7","0.49","0.095","70.13","0.005","0.06","0.029","0.14","14","0.152","0.52","18","49","670","8","0.2","6","0.0","0.228","12.1","0.34","2.3"
"Yambean (jicama)","Yambean (jicama), raw","11603","0","13","0","8.82","0","13.6","4.9","0","0","0.2","0.72","0","0.029","0.7","1.8","0.02","90.07","0.005","0.043","0.021","0.09","12","0.048","0.6","12","18","150","4","0.16","1","0.0","0.042","20.2","0.46","0.3"
"Beets","Beets, pickled, canned, solids and liquids","11609","0","29","0","16.28","0","15.0","0.8","0","0","0.251","0.8","0","0.048","1.0","11.05","0.01","81.88","0.016","0.029","0.013","0.08","11","0.116","0.41","15","17","115","149","0.26","2","0.0","0.05","2.3","0.06","0.3"
"Squash","Squash, winter, all varieties, cooked, baked, without salt","11644","682","2793","0","8.85","0","10.6","2.8","1415","0","0.495","0.89","0","0.067","0.4","3.3","0.016","89.21","0.026","0.147","0.072","0.35","22","0.082","0.44","13","19","241","1","0.22","261","0.0","0.161","9.6","0.12","4.4"
"Carrot juice","Carrot juice, canned","11655","4342","9303","0","9.28","0","9.9","0.8","333","2","0.386","0.95","0","0.055","0.6","3.91","0.092","88.87","0.007","0.071","0.027","0.15","24","0.046","0.46","14","42","292","66","0.18","956","0.0","0.217","8.5","1.16","15.5"
"Seaweed","Seaweed, agar, dried","11663","0","0","0","80.88","0","63.3","7.7","0","0","0.202","6.21","0","0.222","7.4","2.97","0.01","8.68","0.027","0.102","0.061","0.3","625","0.61","21.4","770","52","1125","102","5.8","0","0.0","0.303","0.0","5.0","24.4"
"Seaweed","Seaweed, spirulina, dried","11667","0","342","0","23.9","0","66.0","3.6","0","0","12.82","57.47","0","3.67","7.2","3.1","2.38","4.68","0.675","2.08","2.65","7.72","120","6.1","28.5","195","118","1363","1048","2.0","29","0.0","0.364","10.1","5.0","25.5"
"Seaweed","Seaweed, wakame, raw","11669","0","216","0","9.14","0","13.9","0.5","0","0","1.6","3.03","0","0.23","0.7","0.65","0.06","79.99","0.058","0.218","0.13","0.64","150","0.284","2.18","107","80","50","872","0.38","18","0.0","0.002","3.0","1.0","5.3"
"Potatoes","Potatoes, baked, flesh and skin, without salt","11674","0","6","0","21.15","0","14.8","2.2","30","0","1.41","2.5","0","0.048","0.4","1.18","0.064","74.89","0.003","0.057","0.034","0.13","15","0.118","1.08","28","70","535","10","0.36","1","0.0","0.311","9.6","0.04","2.0"
"Beans","Beans, snap, green, canned, no salt added, drained solids","11729","156","122","24","4.32","0","14.7","1.9","452","0","0.206","1.12","0","0.046","0.4","0.78","0.016","93.38","0.019","0.234","0.103","0.46","38","0.034","1.06","13","20","96","2","0.2","18","0.0","0.03","2.8","0.03","38.9"
"Beans","Beans, snap, yellow, frozen, cooked, boiled, drained, without salt","11732","15","60","0","6.45","0","13.5","3.0","564","0","0.383","1.49","0","0.09","0.4","1.88","0.035","91.42","0.008","0.083","0.044","0.17","49","0.061","0.88","24","31","126","9","0.48","6","0.0","0.06","4.1","0.04","38.1"
"Beets","Beets, canned, no salt added, solids and liquids","11735","0","13","0","6.57","0","6.9","1.2","0","0","0.151","0.8","0","0.038","0.5","5.38","0.01","91.62","0.013","0.025","0.011","0.07","13","0.097","0.63","16","16","142","21","0.23","1","0.0","0.055","2.8","0.03","0.1"
"Carrots","Carrots, canned, no salt added, solids and liquids","11758","2743","5331","0","5.36","0","6.3","1.8","0","0","0.421","0.59","0","0.027","0.4","2.46","0.019","92.99","0.007","0.068","0.024","0.14","31","0.103","0.52","9","20","158","34","0.29","558","0.0","0.112","2.0","0.73","9.8"
"Corn","Corn, sweet, yellow, canned, no salt added, solids and liquids (Includes foods for USDA's Food Distribution Program)","11771","10","9","14","13.86","0","16.6","1.7","650","0","0.884","1.95","0","0.015","0.5","4.15","0.015","82.61","0.144","0.234","0.077","0.77","4","0.028","0.36","15","46","136","12","0.39","2","0.0","0.037","2.6","0.03","0.0"
"Peas","Peas, green, canned, no salt added, solids and liquids","11812","14","859","0","9.75","0","18.9","3.3","1650","0","0.842","3.19","0","0.073","1.3","3.2","0.111","85.92","0.027","0.142","0.054","0.3","18","0.108","1.02","17","53","100","9","0.7","72","0.0","0.065","9.8","0.02","16.5"
"Peppers","Peppers, hot chili, red, raw","11819","36","534","40","8.81","0","10.9","1.5","709","0","1.244","1.87","0","0.086","0.5","5.3","0.072","88.02","0.024","0.239","0.042","0.44","14","0.129","1.03","23","43","322","9","0.26","48","0.0","0.506","143.7","0.69","14.0"
"Peppers","Peppers, sweet, red, raw","11821","20","1624","490","6.03","0","5.6","2.1","51","0","0.979","0.99","0","0.085","0.1","4.2","0.054","92.21","0.007","0.156","0.059","0.3","7","0.017","0.43","12","26","211","4","0.25","157","0.0","0.291","127.7","1.58","4.9"
"Tomatoes","Tomatoes, red, ripe, canned, packed in tomato juice, no salt added","11885","0","265","0","3.47","0","7.0","1.9","85","2745","0.712","0.79","0","0.055","0.7","2.55","0.575","94.75","0.04","0.101","0.034","0.25","33","0.052","0.57","10","17","191","10","0.12","22","0.0","0.111","12.6","0.59","2.9"
"Tomato products","Tomato products, canned, puree, with salt added","11888","0","306","0","8.98","0","17.6","1.9","0","21754","1.466","1.65","0","0.08","0.7","4.83","0.025","87.88","0.031","0.086","0.029","0.21","18","0.287","1.78","23","40","439","202","0.36","26","0.0","0.126","10.6","1.97","3.4"
"Catsup","Catsup","11935","0","316","0","27.4","0","12.5","0.3","161","12062","1.434","1.04","0","0.166","0.7","21.27","0.011","68.51","0.015","0.041","0.014","0.1","15","0.085","0.35","13","26","281","907","0.17","26","0.0","0.158","4.1","1.46","3.0"
"Pickles","Pickles, cucumber, dill or kosher dill","11937","0","45","1","1.99","0","3.4","1.0","199","0","0.109","0.48","0","0.057","0.0","1.28","0.047","94.7","0.005","0.122","0.079","0.43","54","0.026","0.23","7","16","112","808","0.11","4","0.0","0.034","2.1","0.12","16.8"
"Pickles","Pickles, cucumber, sweet (includes bread and butter pickles)","11940","81","325","186","21.15","0","3.1","1.0","170","0","0.115","0.58","0","0.03","0.0","18.27","0.025","76.2","0.004","0.106","0.067","0.41","61","0.028","0.25","7","18","100","457","0.12","38","0.0","0.024","0.7","0.36","47.1"
"Pimento","Pimento, canned","11943","238","1474","0","5.1","0","6.3","1.9","366","0","0.615","1.1","0","0.06","0.2","2.71","0.017","93.1","0.02","0.161","0.045","0.3","6","0.049","1.68","6","17","158","14","0.19","133","0.0","0.215","84.9","0.69","8.3"
"Pickle relish","Pickle relish, sweet","11945","129","519","296","35.06","0","4.9","1.1","271","0","0.233","0.37","0","0.033","0.0","29.13","0.0","62.07","0.209","0.122","0.054","0.47","3","0.085","0.87","5","14","25","811","0.14","61","0.0","0.015","1.0","0.58","83.8"
"Catsup","Catsup, low sodium","11949","0","316","0","27.4","0","12.5","0.3","161","12062","1.434","1.04","0","0.166","0.7","21.27","0.011","68.51","0.015","0.041","0.014","0.1","15","0.085","0.35","13","26","281","20","0.17","26","0.0","0.158","4.1","1.46","3.0"
"Radicchio","Radicchio, raw","11952","0","16","0","4.48","0","10.9","0.9","8832","0","0.255","1.43","0","0.028","0.9","0.6","0.016","93.14","0.01","0.11","0.06","0.25","19","0.341","0.57","13","40","302","22","0.62","1","0.0","0.057","8.0","2.26","255.2"
"Tomatillos","Tomatillos, raw","11954","10","63","0","5.84","0","7.6","1.9","467","0","1.85","0.96","0","0.035","0.5","3.93","0.044","91.63","0.155","0.417","0.139","1.02","7","0.079","0.62","20","39","268","1","0.22","6","0.0","0.056","11.7","0.38","10.1"
"Tomatoes","Tomatoes, sun-dried","11955","0","524","0","55.76","0","104.6","12.3","1419","45902","9.05","14.11","0","0.489","5.5","37.59","0.528","14.56","0.487","1.115","0.426","2.97","110","1.423","9.09","194","356","3427","107","1.99","44","0.0","0.332","39.2","0.01","43.0"
"Fennel","Fennel, bulb, raw","11957","0","578","0","7.3","0","13.2","3.1","607","0","0.64","1.24","0","0.032","0.7","3.93","0.01","90.21","0.068","0.169","0.09","0.2","49","0.066","0.73","17","50","414","52","0.2","48","0.0","0.047","12.0","0.58","62.8"
"Arugula","Arugula, raw","11959","0","1424","0","3.65","0","15.3","1.6","3555","0","0.305","2.58","0","0.086","0.3","2.05","0.044","91.71","0.049","0.319","0.086","0.66","160","0.076","1.46","47","52","369","27","0.47","119","0.0","0.073","15.0","0.43","108.6"
"Nopales","Nopales, raw","11963","48","250","0","3.33","0","7.3","2.2","0","0","0.41","1.32","0","0.041","0.7","1.15","0.012","94.12","0.018","0.05","0.016","0.09","164","0.052","0.59","52","16","257","21","0.25","23","0.0","0.07","9.3","0.0","5.3"
"Cauliflower","Cauliflower, green, raw","11965","0","93","0","6.09","0","57.1","3.2","42","0","0.734","2.95","0","0.102","0.6","3.03","0.08","89.79","0.028","0.133","0.047","0.3","33","0.041","0.73","20","62","300","23","0.64","8","0.0","0.222","88.1","0.04","20.2"
"Grape leaves","Grape leaves, raw","11974","629","16194","9","17.31","0","12.8","11.0","1747","0","2.362","5.6","0","0.354","0.9","6.3","0.04","73.32","0.081","1.065","0.336","2.12","363","0.415","2.63","95","91","272","9","0.67","1376","0.0","0.4","11.1","2.0","108.6"
"Pepper","Pepper, banana, raw","11976","39","184","0","5.35","0","7.4","3.4","0","0","1.242","1.66","0","0.054","0.3","1.95","0.081","91.81","0.027","0.243","0.048","0.45","14","0.094","0.46","17","32","256","13","0.25","17","0.0","0.357","82.7","0.69","9.5"
"Peppers","Peppers, serrano, raw","11977","18","534","40","6.7","0","8.9","3.7","544","0","1.537","1.74","0","0.081","0.4","3.83","0.054","90.25","0.023","0.222","0.059","0.44","11","0.129","0.86","22","40","305","10","0.26","47","0.0","0.505","44.9","0.69","11.8"
"Peppers","Peppers, jalapeno, raw","11979","67","561","105","6.5","0","7.5","2.8","861","0","1.28","0.91","0","0.07","0.4","4.12","0.04","91.69","0.029","0.112","0.092","0.37","12","0.046","0.25","15","26","248","3","0.14","54","0.0","0.419","118.6","3.58","18.5"
"Broccoli","Broccoli, chinese, raw","11994","0","1032","0","4.67","0","26.5","2.6","957","0","0.459","1.2","0","0.153","1.4","0.88","0.1","92.55","0.053","0.347","0.116","0.76","105","0.064","0.59","19","43","274","7","0.41","86","0.0","0.074","29.6","0.5","89.1"
"Seeds","Seeds, pumpkin and squash seed kernels, roasted, without salt","12016","1","5","0","14.71","0","63.0","6.5","30","0","4.43","29.84","0","0.15","9.4","1.29","0.07","2.03","15.734","19.856","8.544","49.05","52","1.275","8.07","550","1174","788","18","7.64","0","0.0","0.1","1.8","0.56","4.5"
"Seeds","Seeds, sunflower seed kernels, dry roasted, without salt","12037","0","5","0","24.07","0","55.1","11.1","0","0","7.042","19.33","0","0.246","79.3","2.73","0.106","1.2","9.505","32.884","5.219","49.8","70","1.83","3.8","129","1155","850","3","5.29","0","0.0","0.804","1.4","26.1","2.7"
"Nuts","Nuts, almonds","12061","0","1","0","21.55","0","52.1","12.5","1","0","3.618","21.15","0","1.138","4.1","4.35","0.205","4.41","31.551","12.329","3.802","49.93","269","1.031","3.71","270","481","733","1","3.12","0","0.0","0.137","0.0","25.63","0.0"
"Nuts","Nuts, almonds, dry roasted, without salt added","12063","0","1","0","21.01","0","52.1","10.9","1","0","3.637","20.96","0","1.197","2.0","4.86","0.077","2.41","33.076","12.955","4.092","52.54","268","1.099","3.73","279","471","713","3","3.31","0","0.0","0.136","0.0","23.9","0.0"
"Nuts","Nuts, almond paste","12071","0","0","0","47.81","0","28.5","4.8","1","0","1.422","9.0","0","0.414","4.2","36.25","0.082","14.08","18.012","5.821","2.629","27.74","172","0.454","1.6","130","258","314","9","1.48","0","0.0","0.036","0.1","13.54","0.0"
"Nuts","Nuts, brazilnuts, dried, unblanched","12078","0","0","0","11.74","0","28.8","7.5","0","0","0.295","14.32","0","0.035","1917.0","2.33","0.617","3.42","23.879","24.399","16.134","67.1","160","1.743","2.43","376","725","659","3","4.06","0","0.0","0.101","0.7","5.65","0.0"
"Nuts","Nuts, cashew nuts, dry roasted, without salt added","12085","0","0","0","32.69","0","61.0","3.0","23","0","1.4","15.31","0","0.2","11.7","5.01","0.2","1.7","27.317","7.836","9.157","46.35","45","2.22","6.0","260","490","565","16","5.6","0","0.0","0.256","0.0","0.92","34.7"
"Nuts","Nuts, coconut meat, raw","12104","0","0","0","15.23","0","12.1","9.0","0","0","0.54","3.33","0","0.02","10.1","6.23","0.066","46.99","1.425","0.366","29.698","33.49","14","0.435","2.43","32","113","356","20","1.1","0","0.0","0.054","3.3","0.24","0.2"
"Nuts","Nuts, coconut meat, dried (desiccated), sweetened, flaked, packaged","12109","0","0","0","51.85","0","19.3","9.9","0","0","0.697","3.13","0","0.015","16.1","36.75","0.015","15.46","1.377","0.222","26.396","27.99","11","0.295","1.51","51","100","361","285","0.71","0","0.0","0.03","0.0","0.0","0.0"
"Nuts","Nuts, coconut cream, canned, sweetened","12116","0","0","0","53.21","0","6.6","0.2","0","0","0.038","1.17","0","0.04","5.5","51.5","0.022","28.97","0.679","0.159","15.472","16.31","4","0.236","0.13","17","22","101","36","0.6","0","0.0","0.029","0.0","0.13","0.1"
"Nuts","Nuts, coconut milk, raw (liquid expressed from grated meat and water)","12117","0","0","0","5.54","0","8.5","2.2","0","0","0.76","2.29","0","0.0","6.2","3.34","0.026","67.62","1.014","0.261","21.14","23.84","16","0.266","1.64","37","100","263","15","0.67","0","0.0","0.033","2.8","0.15","0.1"
"Nuts","Nuts, hazelnuts or filberts","12120","3","11","0","16.7","0","45.6","9.7","92","0","1.8","14.95","0","0.113","2.4","4.34","0.643","5.31","45.652","7.92","4.464","60.75","114","1.725","4.7","163","290","680","0","2.45","1","0.0","0.563","6.3","15.03","14.2"
"Nuts","Nuts, pecans","12142","0","29","9","13.86","0","40.5","9.6","17","0","1.167","9.17","0","0.13","3.8","3.97","0.66","3.52","40.801","21.614","6.18","71.97","70","1.2","2.53","121","277","410","0","4.53","3","0.0","0.21","1.1","1.4","3.5"
"Nuts","Nuts, pine nuts, dried","12147","0","17","0","13.08","0","55.8","3.7","9","0","4.387","13.69","0","0.227","0.7","3.59","0.364","2.28","18.764","34.071","4.899","68.37","16","1.324","5.53","251","575","597","2","6.45","1","0.0","0.094","0.8","9.33","53.9"
"Nuts","Nuts, pistachio nuts, dry roasted, without salt added","12152","0","159","0","28.28","0","71.4","10.3","1160","0","1.373","21.05","0","0.234","10.0","7.74","0.695","1.85","24.534","13.346","5.645","45.82","107","1.293","4.03","109","469","1007","6","2.34","13","0.0","1.122","3.0","2.17","13.2"
"Nuts","Nuts, walnuts, black, dried","12154","0","24","0","9.58","0","32.1","6.8","9","0","0.47","24.06","0","0.13","17.0","1.1","0.057","4.56","15.442","36.437","3.483","59.33","61","1.36","3.12","201","513","523","2","3.37","2","0.0","0.583","1.7","2.08","2.7"
"Nuts","Nuts, walnuts, english","12155","0","12","0","13.71","0","39.2","6.7","9","0","1.125","15.23","0","0.15","4.9","2.61","0.341","4.07","8.933","47.174","6.126","65.21","98","1.586","2.91","158","346","441","2","3.09","1","0.0","0.537","1.3","0.7","2.7"
"Seeds","Seeds, sesame butter, tahini, from roasted and toasted kernels (most common type)","12166","0","40","0","21.19","0","25.8","9.3","0","0","5.45","17.0","0","0.473","34.4","0.49","1.22","3.05","20.302","23.564","7.529","53.76","426","1.61","8.95","95","732","414","115","4.62","3","0.0","0.149","0.0","0.25","0.0"
"Nuts","Nuts, chestnuts, european, roasted","12167","0","14","0","52.96","0","1.5","5.1","13","0","1.342","3.17","0","0.175","1.2","10.6","0.243","40.48","0.759","0.869","0.414","2.2","29","0.507","0.91","33","107","592","2","0.57","1","0.0","0.497","26.0","0.5","7.8"
"Seeds","Seeds, sesame seed kernels, dried (decorticated)","12201","0","40","0","11.73","0","25.6","11.6","0","0","5.8","20.45","0","0.09","34.4","0.48","0.699","3.75","23.924","25.491","9.055","61.21","60","1.4","6.36","345","667","370","47","6.73","3","0.0","0.4","0.0","1.68","0.0"
"Seeds","Seeds, flaxseed","12220","0","0","0","28.88","0","78.7","27.3","651","0","3.08","18.29","0","0.161","25.4","1.55","1.644","6.96","7.527","28.73","3.663","42.16","255","1.22","5.73","392","642","813","30","4.34","0","0.0","0.473","0.6","0.31","4.3"
"Nuts","Nuts, cashew butter, plain, with salt added","12588","0","0","0","30.3","0","48.3","3.0","18","0","1.108","12.12","0","0.159","9.3","9.09","0.158","2.34","26.709","13.371","10.606","53.03","61","1.758","4.91","206","388","447","295","4.43","0","0.0","0.203","0.0","5.08","30.3"
"Nuts","Nuts, macadamia nuts, dry roasted, with salt added","12632","0","0","0","12.83","0","44.6","8.0","0","0","2.274","7.79","0","0.087","11.7","4.14","0.71","1.61","59.275","1.498","11.947","76.08","70","0.57","2.65","118","198","363","353","1.29","0","0.0","0.359","0.7","0.57","0.0"
"Nuts","Nuts, almond butter, plain, with salt added","12695","0","1","0","18.82","0","52.1","10.3","1","0","3.155","20.96","0","0.939","2.4","6.27","0.041","1.64","32.445","13.613","6.55","55.5","347","0.934","3.49","279","508","748","227","3.29","0","0.0","0.103","0.0","24.21","0.0"
"Beef","Beef, retail cuts, separable fat, cooked","13020","0","0","0","0.0","95","56.1","0.0","0","0","1.528","10.65","0","0.046","8.3","0.0","0.03","18.58","30.45","2.66","28.5","70.33","19","0.04","1.08","6","64","99","23","1.24","0","0.9","0.14","0.0","0.0","3.1"
"Beef","Beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, raw","13068","0","0","0","0.0","69","90.7","0.0","0","0","7.353","21.72","0","0.106","25.4","0.0","0.06","68.72","2.477","0.259","2.612","6.29","28","0.072","1.62","23","204","340","57","4.12","0","1.18","0.596","0.0","0.31","1.2"
"Beef","Beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, cooked, braised","13069","0","0","0","0.0","71","106.7","0.0","0","0","4.6","28.02","0","0.19","30.8","0.0","0.14","57.27","5.44","0.39","5.54","13.0","6","0.124","3.47","24","267","351","72","6.05","0","3.41","0.36","0.0","0.14","1.6"
"Beef","Beef, rib, shortribs, separable lean and fat, choice, cooked, braised","13148","0","0","0","0.0","94","82.2","0.0","0","0","2.452","21.57","0","0.15","20.8","0.0","0.05","35.72","18.88","1.53","17.8","41.98","12","0.099","2.31","15","162","224","50","4.88","0","2.62","0.22","0.0","0.29","2.4"
"Beef","Beef, rib, shortribs, separable lean only, choice, cooked, braised","13150","0","0","0","0.0","93","117.2","0.0","0","0","3.208","30.76","0","0.202","22.1","0.0","0.065","50.15","7.98","0.55","7.74","18.13","11","0.107","3.36","22","235","313","58","7.8","0","3.46","0.28","0.0","0.14","1.9"
"Beef","Beef, ground, patties, frozen, cooked, broiled","13317","0","0","0","0.0","84","74.6","0.0","0","0","5.305","23.05","0","0.176","21.5","0.0","0.03","53.91","9.358","0.656","8.805","21.83","11","0.077","2.42","19","174","305","77","4.84","0","2.65","0.435","0.0","0.0","2.3"
"Beef","Beef, variety meats and by-products, brain, cooked, simmered","13320","0","70","0","1.48","3100","490.9","0.0","0","0","3.62","11.67","0","0.217","21.8","0.0","0.069","74.86","1.882","1.632","2.394","10.53","9","0.23","2.3","12","335","244","108","1.09","6","10.1","0.143","10.5","1.67","0.1"
"Beef","Beef, variety meats and by-products, heart, cooked, simmered","13322","0","0","0","0.15","212","228.8","0.0","0","0","6.68","28.48","0","1.21","38.9","0.0","0.101","65.67","1.011","0.985","1.404","4.73","5","0.559","6.38","21","254","219","59","2.87","0","10.8","0.245","0.0","0.29","0.5"
"Beef","Beef, variety meats and by-products, kidneys, cooked, simmered","13324","0","0","0","0.0","716","513.2","0.0","0","23","3.92","27.27","0","2.97","168.0","0.0","0.16","66.88","0.96","1.138","1.439","4.65","19","0.564","5.8","12","304","135","94","2.84","0","24.9","0.391","0.0","0.08","0.0"
"Beef","Beef, variety meats and by-products, liver, cooked, braised","13326","11","162","11","5.13","396","426.0","0.0","0","0","17.525","29.08","9428","3.425","36.1","0.0","0.194","58.81","1.124","1.109","2.947","5.26","6","14.283","6.54","21","497","352","79","5.3","9442","70.58","1.017","1.9","0.51","3.3"
"Beef","Beef, variety meats and by-products, liver, cooked, pan-fried","13327","11","182","21","5.16","381","418.2","0.0","0","0","17.475","26.52","7728","3.425","32.8","0.0","0.177","62.01","1.106","1.021","2.53","4.68","6","14.588","6.17","22","485","351","77","5.23","7744","83.13","1.027","0.7","0.46","3.9"
"Beef","Beef, variety meats and by-products, tongue, cooked, simmered","13340","0","0","0","0.0","132","155.0","0.0","0","0","3.49","19.29","0","0.294","13.2","0.0","0.022","57.87","10.102","0.746","8.125","22.3","5","0.148","2.61","15","145","184","65","4.09","0","3.13","0.155","1.3","0.3","1.2"
"Beef","Beef, variety meats and by-products, tripe, raw","13341","0","0","0","0.0","122","194.8","0.0","0","0","0.881","12.07","0","0.064","12.5","0.0","0.0","84.16","1.533","0.18","1.291","3.69","69","0.07","0.59","13","64","67","97","1.42","0","1.39","0.014","0.0","0.09","0.0"
"Beef","Beef, cured, breakfast strips, cooked","13345","0","0","0","1.4","119","119.2","0.0","0","0","6.47","31.3","0","0.26","26.8","0.0","0.09","26.2","16.85","1.58","14.35","34.4","9","0.116","3.14","27","236","412","1500","6.37","0","3.45","0.31","0.0","0.29","2.8"
