"State","Year","Population.12-17","Population.18-25","Population.26+","Totals.Alcohol.Use Disorder Past Year.12-17","Totals.Alcohol.Use Disorder Past Year.18-25","Totals.Alcohol.Use Disorder Past Year.26+","Rates.Alcohol.Use Disorder Past Year.12-17","Rates.Alcohol.Use Disorder Past Year.18-25","Rates.Alcohol.Use Disorder Past Year.26+","Totals.Alcohol.Use Past Month.12-17","Totals.Alcohol.Use Past Month.18-25","Totals.Alcohol.Use Past Month.26+","Rates.Alcohol.Use Past Month.12-17","Rates.Alcohol.Use Past Month.18-25","Rates.Alcohol.Use Past Month.26+","Totals.Tobacco.Cigarette Past Month.12-17","Totals.Tobacco.Cigarette Past Month.18-25","Totals.Tobacco.Cigarette Past Month.26+","Rates.Tobacco.Cigarette Past Month.12-17","Rates.Tobacco.Cigarette Past Month.18-25","Rates.Tobacco.Cigarette Past Month.26+","Totals.Illicit Drugs.Cocaine Used Past Year.12-17","Totals.Illicit Drugs.Cocaine Used Past Year.18-25","Totals.Illicit Drugs.Cocaine Used Past Year.26+","Rates.Illicit Drugs.Cocaine Used Past Year.12-17","Rates.Illicit Drugs.Cocaine Used Past Year.18-25","Rates.Illicit Drugs.Cocaine Used Past Year.26+","Totals.Marijuana.New Users.12-17","Totals.Marijuana.New Users.18-25","Totals.Marijuana.New Users.26+","Rates.Marijuana.New Users.12-17","Rates.Marijuana.New Users.18-25","Rates.Marijuana.New Users.26+","Totals.Marijuana.Used Past Month.12-17","Totals.Marijuana.Used Past Month.18-25","Totals.Marijuana.Used Past Month.26+","Rates.Marijuana.Used Past Month.12-17","Rates.Marijuana.Used Past Month.18-25","Rates.Marijuana.Used Past Month.26+","Totals.Marijuana.Used Past Year.12-17","Totals.Marijuana.Used Past Year.18-25","Totals.Marijuana.Used Past Year.26+","Rates.Marijuana.Used Past Year.12-17","Rates.Marijuana.Used Past Year.18-25","Rates.Marijuana.Used Past Year.26+","Totals.Tobacco.Use Past Month.12-17","Totals.Tobacco.Use Past Month.18-25","Totals.Tobacco.Use Past Month.26+","Rates.Tobacco.Use Past Month.12-17","Rates.Tobacco.Use Past Month.18-25","Rates.Tobacco.Use Past Month.26+"
"Alabama","2010","386718","535455","3052348","14","64","128","0.035191","0.120055","0.042083","43","274","1375","0.111804","0.511119","0.450579","34","195","815","0.087872","0.364797","0.267157","3","13","32","0.006677","0.02498","0.010345","16","18","2","0.046016","0.055941","0.001186","23","76","112","0.058274","0.142542","0.036742","43","120","183","0.110797","0.223545","0.059822","43","232","990","0.11005","0.43335","0.324356"
"Alaska","2010","61192","77636","424976","3","13","30","0.044337","0.162691","0.07016","9","47","241","0.144376","0.609214","0.567032","5","31","119","0.088371","0.405328","0.27966","1","4","5","0.008866","0.046093","0.011136","4","3","1","0.075084","0.084852","0.003763","6","19","39","0.10133","0.245936","0.091815","11","29","58","0.182838","0.375666","0.135308","7","37","140","0.122531","0.472962","0.329588"
"Arizona","2010","535234","700156","4014024","25","116","271","0.045853","0.165755","0.067529","69","392","2128","0.128113","0.559211","0.530022","47","228","960","0.086891","0.32584","0.239249","5","34","55","0.010239","0.048433","0.01374","30","27","4","0.065199","0.070161","0.001889","47","111","213","0.086906","0.158636","0.053045","85","190","368","0.15804","0.271708","0.091641","56","263","1080","0.104222","0.375392","0.26896"
"Arkansas","2010","234810","316170","1851278","9","37","80","0.037348","0.1163","0.043224","29","160","777","0.123953","0.505475","0.419623","22","120","505","0.09378","0.380127","0.272787","2","9","16","0.008564","0.027662","0.008879","11","10","1","0.050917","0.056705","0.001123","13","44","61","0.054889","0.139972","0.033198","26","74","120","0.112758","0.233179","0.065041","30","142","610","0.127994","0.4481","0.329539"
"California","2010","3195149","4379387","23321879","172","705","1432","0.053704","0.16107","0.061416","447","2557","12372","0.139768","0.583841","0.530477","207","1214","3667","0.064748","0.277171","0.157252","42","243","292","0.013138","0.055587","0.012512","197","191","36","0.071888","0.083529","0.002439","307","925","1426","0.096231","0.2112","0.061146","545","1429","2345","0.170696","0.326336","0.100568","245","1411","4391","0.076829","0.322235","0.188273"
"Colorado","2010","395318","548890","3212230","18","105","225","0.045294","0.191736","0.07009","60","390","2063","0.152151","0.710213","0.642311","35","196","715","0.08941","0.357086","0.22259","5","47","46","0.011871","0.085651","0.014468","28","20","3","0.091675","0.095717","0.002292","42","148","255","0.107136","0.270207","0.079501","77","219","389","0.195562","0.399471","0.121234","46","237","868","0.117438","0.432315","0.270081"
"Connecticut","2010","293487","364200","2350212","13","61","147","0.04384","0.168844","0.062548","55","258","1517","0.188011","0.707796","0.645263","24","125","495","0.081466","0.344268","0.210483","3","23","31","0.009611","0.064114","0.013215","16","15","2","0.067089","0.088482","0.001956","26","76","115","0.088313","0.208153","0.049083","49","134","201","0.168309","0.367584","0.085625","31","144","592","0.10604","0.395674","0.251844"
"Delaware","2010","69567","99853","583371","3","14","28","0.038039","0.139631","0.048824","10","66","330","0.140366","0.665509","0.56645","6","35","140","0.083207","0.34665","0.239574","1","5","7","0.008543","0.048759","0.012797","4","4","1","0.072242","0.09843","0.002148","6","20","24","0.090886","0.198701","0.041265","12","36","49","0.167218","0.364108","0.083705","8","40","171","0.110183","0.399457","0.292937"
"District of Columbia","2010","31644","98663","399778","1","17","41","0.036024","0.173919","0.10144","5","75","255","0.156435","0.760597","0.638551","2","28","94","0.061829","0.28358","0.234353","0","4","11","0.003167","0.044609","0.027064","2","5","1","0.079708","0.114586","0.00451","3","22","30","0.109737","0.227546","0.07558","6","38","54","0.179857","0.382606","0.135323","2","34","107","0.077904","0.343769","0.266826"
"Florida","2010","1383191","1933760","12708633","55","257","616","0.039802","0.132776","0.048508","174","1117","6873","0.125885","0.577401","0.5408","91","605","2773","0.06606","0.312623","0.218214","12","101","146","0.00833","0.052005","0.011516","68","75","13","0.05471","0.072213","0.00162","96","360","541","0.069053","0.185962","0.042534","190","599","947","0.137669","0.309819","0.074499","120","712","3306","0.086616","0.368249","0.260112"
"Georgia","2010","821577","1066108","5997840","31","134","266","0.038157","0.125532","0.044276","95","575","2978","0.115505","0.539075","0.496588","71","336","1229","0.086626","0.314706","0.204842","5","27","66","0.006148","0.025166","0.010995","44","34","5","0.060986","0.055241","0.001643","52","151","182","0.062721","0.141449","0.030268","102","259","360","0.12409","0.242648","0.059982","93","393","1590","0.113371","0.368449","0.265111"
"Hawaii","2010","99395","134011","878476","5","23","55","0.047378","0.174257","0.062365","15","81","447","0.149193","0.606023","0.509294","7","41","168","0.07137","0.309345","0.191225","1","5","10","0.008201","0.039569","0.011008","5","5","1","0.071808","0.077147","0.00272","9","23","39","0.087555","0.168174","0.043987","15","38","72","0.154233","0.282176","0.082252","10","47","181","0.097845","0.348549","0.206176"
"Idaho","2010","137928","172570","956472","6","27","57","0.042285","0.158897","0.059645","16","86","525","0.117876","0.495791","0.548683","12","57","221","0.090181","0.328225","0.231427","1","5","8","0.008391","0.028643","0.008228","7","6","1","0.055538","0.063054","0.001251","10","26","51","0.073899","0.152792","0.053594","20","43","85","0.143891","0.25172","0.088564","15","67","258","0.110744","0.386931","0.269977"
"Illinois","2010","1069760","1393734","8165781","41","229","465","0.03849","0.164406","0.056895","141","904","4756","0.13154","0.648266","0.582393","79","500","1757","0.073528","0.358596","0.215175","10","65","114","0.00902","0.04691","0.013985","54","52","9","0.056685","0.075273","0.001862","79","277","381","0.073455","0.198484","0.046688","139","449","609","0.129759","0.322159","0.074616","103","584","2150","0.096357","0.419268","0.263247"
"Indiana","2010","540996","726313","4081667","19","111","233","0.035911","0.152636","0.057056","60","441","2215","0.111321","0.607542","0.542647","46","266","1028","0.084621","0.366755","0.25195","4","22","36","0.007764","0.029761","0.00889","27","28","3","0.051576","0.072859","0.001334","32","127","189","0.058847","0.175231","0.046188","61","206","292","0.11253","0.283836","0.071555","56","322","1202","0.104396","0.443538","0.294528"
"Iowa","2010","241547","344598","1944254","10","64","130","0.040192","0.186223","0.066829","36","231","1093","0.150953","0.670742","0.562271","26","127","452","0.106038","0.367563","0.232465","2","12","15","0.00888","0.033482","0.007723","12","14","1","0.053362","0.072199","0.001222","15","56","63","0.062948","0.163777","0.032191","32","99","121","0.13234","0.286068","0.062285","31","155","522","0.128889","0.448656","0.268336"
"Kansas","2010","235977","319632","1761207","10","51","101","0.041161","0.158279","0.057497","30","202","957","0.125069","0.63129","0.543358","21","117","433","0.090552","0.365882","0.245806","2","13","20","0.010001","0.03992","0.01127","13","11","1","0.062859","0.065141","0.001357","15","47","64","0.062539","0.147702","0.036269","32","83","111","0.134376","0.26049","0.063053","28","149","524","0.11886","0.466577","0.297346"
"Kentucky","2010","340083","456240","2789768","12","51","111","0.035037","0.11275","0.039791","42","236","1190","0.123831","0.517807","0.426706","40","194","867","0.11761","0.424714","0.310745","3","16","29","0.008733","0.034713","0.0103","17","14","2","0.056431","0.054213","0.001322","20","71","98","0.058698","0.15594","0.035072","40","108","168","0.118357","0.236024","0.06026","50","232","1035","0.145759","0.507652","0.370934"
"Louisiana","2010","368184","525362","2810803","12","72","146","0.032528","0.13629","0.051905","52","311","1392","0.141586","0.592001","0.49535","34","187","780","0.091563","0.355349","0.277534","2","16","34","0.006597","0.030012","0.012159","17","18","3","0.046886","0.05305","0.001479","21","71","82","0.056093","0.135897","0.029267","39","119","152","0.10686","0.225691","0.054163","40","217","914","0.108429","0.412348","0.325006"
"Maine","2010","98025","129424","913496","3","19","43","0.035337","0.144615","0.046991","12","80","538","0.122354","0.620942","0.589033","8","49","229","0.085333","0.377681","0.250481","1","8","11","0.009414","0.060046","0.011964","5","5","1","0.063783","0.087563","0.001849","8","31","52","0.086686","0.235707","0.056412","15","48","92","0.155147","0.367338","0.101092","11","59","256","0.109683","0.458998","0.280117"
"Maryland","2010","464119","622291","3742499","15","76","156","0.032307","0.122933","0.041771","60","400","2210","0.128973","0.643243","0.590466","27","187","723","0.057869","0.300872","0.193151","3","24","45","0.00639","0.038386","0.012029","25","21","4","0.058527","0.066953","0.002092","30","109","117","0.065494","0.174974","0.031232","63","198","209","0.136083","0.318598","0.05581","36","224","860","0.077921","0.359238","0.229859"
"Massachusetts","2010","498579","763633","4320664","24","146","310","0.04884","0.19112","0.071755","78","545","2900","0.157172","0.713721","0.671269","41","246","757","0.083222","0.321551","0.175214","5","47","61","0.010236","0.061969","0.014042","33","34","6","0.082057","0.10119","0.002744","56","218","290","0.111513","0.2859","0.067141","91","328","447","0.182181","0.429712","0.103538","57","288","914","0.11427","0.377047","0.211597"
"Michigan","2010","826549","1088897","6365041","33","161","388","0.039831","0.148143","0.060993","106","685","3646","0.128118","0.629111","0.572839","71","426","1667","0.086184","0.390915","0.261933","7","44","76","0.009041","0.040352","0.011922","44","46","6","0.061711","0.084756","0.001876","67","228","413","0.081531","0.209826","0.06484","118","364","611","0.142937","0.334676","0.096056","91","498","1939","0.110471","0.457062","0.304646"
"Minnesota","2010","426996","571065","3419350","18","99","219","0.042122","0.172934","0.064143","57","380","2147","0.133285","0.666012","0.627847","38","226","722","0.088851","0.395173","0.211075","3","22","32","0.007879","0.038295","0.009275","23","20","3","0.05804","0.071786","0.001885","31","108","139","0.072178","0.189096","0.04062","58","182","235","0.135993","0.318064","0.06859","44","259","861","0.10399","0.453375","0.251847"
"Mississippi","2010","249977","333665","1819793","9","40","81","0.034949","0.119654","0.044248","29","168","762","0.115878","0.504339","0.418923","24","128","492","0.09457","0.384092","0.270424","2","7","21","0.006827","0.021418","0.011339","11","10","1","0.049852","0.049128","0.001271","15","48","72","0.06141","0.144326","0.039582","29","77","121","0.117945","0.23206","0.066528","32","153","646","0.128556","0.458465","0.355222"
"Missouri","2010","478541","653980","3823426","20","90","170","0.041381","0.137329","0.04449","69","396","1982","0.143425","0.60504","0.518377","54","250","1030","0.113167","0.382522","0.26933","4","25","41","0.008873","0.037703","0.01083","25","20","3","0.06024","0.055127","0.001474","34","121","143","0.071918","0.184372","0.03731","63","183","256","0.13153","0.279194","0.067007","70","307","1278","0.145561","0.469626","0.334355"
"Montana","2010","74688","106003","651403","4","21","45","0.053021","0.195304","0.068901","13","74","416","0.168826","0.694795","0.639074","9","40","149","0.117939","0.376723","0.228751","1","5","6","0.010591","0.043654","0.00915","6","5","1","0.091926","0.101056","0.001891","8","28","49","0.101296","0.262827","0.074627","15","41","79","0.198524","0.383399","0.120608","12","52","195","0.165308","0.494532","0.299167"
"Nebraska","2010","146828","205186","1143103","5","32","57","0.035395","0.157958","0.05011","18","131","633","0.123288","0.640379","0.553976","13","73","263","0.085488","0.355455","0.23006","1","8","11","0.00984","0.040295","0.009511","7","7","1","0.048134","0.059994","0.001426","9","30","40","0.061898","0.144184","0.034582","16","50","65","0.111154","0.243295","0.056448","16","86","313","0.111568","0.420716","0.27361"
"Nevada","2010","219015","279716","1733566","11","50","138","0.051748","0.177252","0.079661","31","165","985","0.141153","0.588544","0.568467","17","99","397","0.075402","0.354221","0.229018","2","15","22","0.011094","0.051862","0.012548","13","12","2","0.070641","0.083724","0.001967","18","54","100","0.082907","0.192767","0.057693","36","83","177","0.165825","0.297569","0.102005","21","111","471","0.09445","0.396907","0.271704"
"New Hampshire","2010","104712","137371","883019","5","22","47","0.04598","0.161518","0.053109","18","101","577","0.167219","0.736397","0.653187","11","52","187","0.108815","0.380064","0.211472","1","10","10","0.010196","0.074522","0.011603","7","6","1","0.081548","0.100791","0.002249","12","38","44","0.113879","0.276447","0.049543","20","57","80","0.189872","0.415045","0.090929","15","64","227","0.140776","0.464218","0.256824"
"New Jersey","2010","717188","866637","5785457","33","126","323","0.046126","0.144938","0.055909","124","556","3499","0.172367","0.641408","0.604745","60","305","1326","0.083451","0.35154","0.229203","6","51","83","0.008816","0.0592","0.014368","41","36","7","0.06609","0.083959","0.002188","57","167","262","0.079447","0.192928","0.045202","104","278","391","0.144501","0.32047","0.067663","77","349","1539","0.106849","0.402971","0.266064"
"New Mexico","2010","170679","225076","1293249","7","37","75","0.042561","0.16636","0.057834","21","123","577","0.123959","0.548323","0.446238","15","81","266","0.090121","0.360718","0.205461","2","14","20","0.013751","0.061253","0.015404","11","8","1","0.087359","0.083477","0.002166","16","47","75","0.09527","0.210506","0.057743","32","72","122","0.184922","0.319387","0.094087","20","98","308","0.116238","0.434124","0.237878"
"New York","2010","1497645","2236959","12651349","62","318","716","0.041565","0.14194","0.056567","250","1466","7302","0.166807","0.655208","0.577176","101","667","2676","0.067601","0.298235","0.211514","12","112","184","0.008258","0.050015","0.014524","77","87","16","0.057246","0.072111","0.002352","119","439","668","0.07937","0.196376","0.05283","207","713","1111","0.138225","0.31857","0.087814","133","777","3053","0.088726","0.347377","0.241336"
"North Carolina","2010","752637","1007676","6102077","29","125","266","0.038988","0.124245","0.043534","96","619","3026","0.127275","0.614699","0.495975","65","368","1461","0.086016","0.36489","0.239391","7","41","77","0.00883","0.040842","0.01263","41","39","4","0.060641","0.078027","0.001323","60","210","282","0.08024","0.208524","0.04625","106","323","423","0.14138","0.320253","0.069386","82","425","1753","0.108715","0.42188","0.287354"
"North Dakota","2010","49024","89035","423460","2","18","29","0.036699","0.205995","0.06943","7","64","260","0.133707","0.722075","0.615071","4","31","90","0.091402","0.351226","0.213647","0","2","3","0.0074","0.025806","0.007091","2","3","0","0.049049","0.061069","0.00144","3","11","10","0.055367","0.118746","0.024749","6","21","22","0.117743","0.237708","0.052998","6","39","107","0.118489","0.441605","0.252749"
"Ohio","2010","938484","1227142","7436917","36","188","461","0.038691","0.153472","0.062035","125","770","4135","0.133315","0.627559","0.555993","92","469","1971","0.097547","0.38258","0.265043","8","48","83","0.008306","0.038831","0.011185","48","47","7","0.057705","0.075047","0.001639","65","223","321","0.069457","0.181524","0.043201","124","382","582","0.132113","0.311065","0.078222","118","573","2329","0.125595","0.46655","0.313181"
"Oklahoma","2010","301684","420490","2336963","11","61","152","0.03492","0.144955","0.064918","38","241","1084","0.124491","0.573369","0.463798","29","171","699","0.095253","0.406137","0.299085","3","15","24","0.009106","0.035876","0.010354","15","13","2","0.055016","0.05575","0.001314","21","63","110","0.069053","0.150335","0.046955","39","97","173","0.12799","0.23144","0.074024","41","205","830","0.134874","0.48775","0.355166"
"Oregon","2010","291949","408353","2544311","12","69","179","0.040071","0.168524","0.070416","41","263","1654","0.140889","0.643781","0.650135","23","145","546","0.078033","0.355107","0.214512","4","28","34","0.012412","0.068473","0.013224","16","15","2","0.070139","0.089386","0.001901","29","104","227","0.100674","0.254129","0.089083","54","161","323","0.184174","0.393353","0.126893","30","170","651","0.101517","0.415746","0.255757"
"Pennsylvania","2010","977609","1402639","8359212","40","213","508","0.040648","0.151582","0.060777","134","909","4835","0.137418","0.648245","0.578445","93","513","2020","0.094929","0.365439","0.241616","8","66","104","0.007979","0.046954","0.012443","49","59","7","0.056243","0.081123","0.001676","68","256","346","0.070043","0.182619","0.041377","125","439","602","0.128005","0.313079","0.071969","119","613","2435","0.121441","0.437322","0.291298"
"Rhode Island","2010","79365","132016","682132","3","25","54","0.04205","0.1904","0.079676","12","94","453","0.149332","0.712747","0.664171","7","47","161","0.084916","0.353265","0.235607","1","9","11","0.009914","0.07115","0.016366","5","6","1","0.078503","0.110835","0.002476","9","41","57","0.116345","0.313992","0.083121","15","60","89","0.192078","0.458133","0.130204","8","56","186","0.105977","0.422554","0.272613"
"South Carolina","2010","356898","510126","2966560","14","66","159","0.038361","0.128675","0.053455","42","290","1532","0.116291","0.568826","0.516437","34","190","814","0.094929","0.372328","0.274528","2","15","40","0.00671","0.030348","0.013402","20","18","2","0.05981","0.063499","0.00135","23","84","117","0.065124","0.164194","0.039525","49","141","216","0.137173","0.276599","0.072924","42","218","955","0.117931","0.426879","0.321914"
"South Dakota","2010","64595","90572","509409","3","16","39","0.053174","0.173075","0.076417","10","62","294","0.16225","0.6887","0.576703","6","34","122","0.097263","0.371878","0.239143","1","2","4","0.008017","0.026837","0.007727","3","3","0","0.052961","0.059786","0.001403","4","12","16","0.062288","0.130178","0.031634","8","20","28","0.119232","0.225369","0.05476","9","43","152","0.138021","0.474402","0.298623"
"Tennessee","2010","502882","675875","4110667","18","92","212","0.03552","0.136501","0.051608","54","356","1777","0.106794","0.526525","0.432263","45","257","1119","0.090373","0.380233","0.272145","4","22","46","0.00802","0.032539","0.011178","23","23","3","0.050097","0.062563","0.001328","30","101","153","0.058871","0.149263","0.037224","58","169","261","0.11499","0.249308","0.063596","64","322","1450","0.126918","0.477151","0.352717"
"Texas","2010","2243713","2871691","15188973","85","417","815","0.037976","0.145256","0.053689","268","1681","8078","0.11954","0.58542","0.531865","150","909","3282","0.066743","0.316461","0.216095","26","122","156","0.011561","0.042603","0.010258","108","110","13","0.053982","0.066192","0.001504","138","416","516","0.061431","0.145033","0.033972","273","697","890","0.121639","0.242857","0.05858","198","1063","3907","0.088411","0.37028","0.25724"
"Utah","2010","262463","362693","1532125","10","39","52","0.036983","0.106842","0.033838","21","111","433","0.079922","0.307321","0.282626","16","85","205","0.060879","0.233242","0.13356","2","14","17","0.009231","0.037474","0.010782","12","11","1","0.043559","0.042625","0.000945","11","29","36","0.041664","0.080409","0.0234","26","62","67","0.099962","0.170394","0.043863","18","88","237","0.066954","0.244004","0.154984"
"Vermont","2010","46814","72220","420783","2","13","24","0.043899","0.180115","0.056662","8","54","266","0.180472","0.741478","0.633154","5","26","90","0.102242","0.359587","0.214387","1","6","5","0.012769","0.089815","0.013014","3","2","0","0.093546","0.091072","0.002348","6","25","37","0.137695","0.343593","0.088665","10","34","54","0.215586","0.469604","0.129242","6","33","108","0.138601","0.460105","0.25752"
"Virginia","2010","620009","874464","5117877","26","139","279","0.042514","0.158651","0.054462","80","578","2907","0.129525","0.661071","0.568078","41","278","1011","0.066258","0.317668","0.197533","5","37","52","0.007891","0.042278","0.010148","32","35","5","0.059103","0.077178","0.001844","43","159","185","0.069789","0.182321","0.036072","81","257","321","0.130844","0.29421","0.062771","57","337","1288","0.092179","0.385478","0.251694"
"Washington","2010","531313","729323","4373484","24","122","259","0.044484","0.167694","0.059298","72","465","2660","0.135142","0.63768","0.608117","48","269","958","0.091012","0.368569","0.219046","5","42","55","0.010116","0.057572","0.012549","30","27","5","0.070543","0.087041","0.002215","52","187","311","0.097657","0.256007","0.071218","92","277","486","0.173856","0.379696","0.111108","59","323","1146","0.111338","0.442428","0.262008"
"West Virginia","2010","131816","188497","1252067","5","27","54","0.03606","0.1452","0.042976","19","103","499","0.142376","0.543936","0.398818","16","79","386","0.118223","0.421514","0.307972","1","9","14","0.010672","0.048441","0.011149","7","7","1","0.062838","0.076877","0.001172","9","37","47","0.070736","0.198123","0.037357","18","56","87","0.13448","0.295769","0.069824","22","96","486","0.16671","0.509196","0.387944"
"Wisconsin","2010","455693","617748","3678180","17","92","229","0.037208","0.149482","0.062202","61","424","2491","0.133948","0.686418","0.677281","38","212","789","0.083407","0.343848","0.214406","4","30","37","0.008804","0.049097","0.010156","22","20","3","0.050872","0.061136","0.001602","32","101","154","0.070246","0.163828","0.041768","58","175","243","0.126267","0.282541","0.065976","46","266","951","0.101384","0.430551","0.258524"
"Wyoming","2010","42751","62674","358902","2","11","22","0.040973","0.170561","0.060506","6","37","191","0.147735","0.592841","0.532419","5","24","85","0.111032","0.380469","0.236807","0","3","3","0.008336","0.040105","0.008843","2","2","0","0.057743","0.060878","0.001328","3","9","12","0.060772","0.136058","0.033573","6","16","23","0.13981","0.256993","0.063022","6","30","108","0.141504","0.48084","0.300288"
"Alabama","2011","385060","536921","3073532","13","62","125","0.032715","0.114617","0.040509","44","283","1400","0.113569","0.526524","0.455585","32","196","804","0.082184","0.365729","0.261683","3","14","31","0.006692","0.026832","0.010054","18","18","2","0.049418","0.059523","0.001111","22","77","104","0.056178","0.143431","0.033842","42","126","193","0.108574","0.235442","0.062948","41","235","1010","0.107653","0.437098","0.328727"
"Alaska","2011","60614","80497","432040","2","13","33","0.03807","0.160942","0.07694","8","48","256","0.133937","0.594723","0.592789","5","31","112","0.075695","0.381266","0.258816","1","4","5","0.008824","0.049826","0.012387","3","3","1","0.066957","0.086467","0.004221","6","20","48","0.100066","0.247744","0.111808","10","31","69","0.170315","0.382038","0.160729","6","37","137","0.103003","0.465602","0.317151"
"Arizona","2011","537268","709377","4077362","20","101","249","0.038128","0.14205","0.061033","70","405","2232","0.130667","0.570529","0.547481","35","231","913","0.06438","0.325964","0.22393","5","40","62","0.009982","0.056627","0.015236","28","26","5","0.064543","0.07634","0.002233","45","122","217","0.083663","0.171975","0.053283","77","207","343","0.144127","0.291969","0.084097","43","265","1076","0.079307","0.373594","0.26386"
"Arkansas","2011","235330","317333","1864363","7","38","82","0.031712","0.119244","0.044123","29","161","786","0.122475","0.507112","0.421398","20","111","482","0.087091","0.348458","0.258686","2","10","20","0.007373","0.032248","0.01098","11","11","1","0.051741","0.057334","0.001294","14","47","67","0.060093","0.147087","0.03605","29","80","119","0.122293","0.250963","0.063694","27","135","601","0.116756","0.426692","0.322513"
"California","2011","3156459","4427350","23658234","133","685","1401","0.042105","0.154648","0.0592","413","2557","12529","0.130775","0.577558","0.529578","171","1194","3741","0.054277","0.269758","0.158142","34","256","305","0.010839","0.0578","0.012885","183","203","32","0.068288","0.088187","0.002464","279","963","1595","0.088284","0.217413","0.067418","509","1483","2387","0.161372","0.335","0.100879","207","1377","4479","0.065641","0.310993","0.189302"
"Colorado","2011","397449","556502","3270160","15","100","225","0.038081","0.18004","0.068842","53","379","2067","0.134001","0.68078","0.632196","31","192","743","0.078705","0.345224","0.227056","4","49","49","0.010894","0.08832","0.014853","24","21","4","0.074917","0.094264","0.002458","42","149","250","0.104707","0.268145","0.076328","70","219","397","0.17639","0.393922","0.12145","42","240","922","0.10626","0.431041","0.281899"
"Connecticut","2011","290956","369988","2363818","11","60","160","0.039093","0.162144","0.067885","51","255","1561","0.176348","0.688584","0.66055","18","123","473","0.063395","0.332211","0.200109","2","25","31","0.008483","0.067069","0.013125","16","16","3","0.066258","0.093216","0.002276","25","88","142","0.087186","0.236636","0.060139","47","144","221","0.161897","0.389479","0.093617","25","139","583","0.084427","0.377003","0.246445"
"Delaware","2011","69055","101269","590737","2","16","34","0.0332169999999999","0.15969","0.058193","10","65","326","0.138716","0.637305","0.551397","5","37","139","0.076806","0.360465","0.234712","1","5","9","0.00744","0.052702","0.014391","4","4","1","0.073237","0.099408","0.002373","7","21","29","0.095798","0.209529","0.0495","12","39","56","0.167032","0.389245","0.095536","7","41","166","0.100736","0.401579","0.280558"
"District of Columbia","2011","31373","96533","411604","1","17","45","0.031812","0.176412","0.109703","5","73","268","0.147899","0.75125","0.650756","1","27","86","0.047304","0.284651","0.210042","0","5","11","0.003355","0.048809","0.027791","2","5","1","0.083679","0.116866","0.005169","3","24","30","0.093503","0.244882","0.072386","5","41","60","0.17234","0.422929","0.146424","2","32","102","0.061058","0.335767","0.248558"
"Florida","2011","1381693","1959129","12916437","42","258","655","0.030753","0.131767","0.050743","172","1164","7100","0.124469","0.594085","0.549654","77","570","2758","0.055543","0.290897","0.213492","9","104","165","0.006551","0.053104","0.012767","69","73","13","0.056374","0.070311","0.001681","97","373","611","0.070285","0.190181","0.047279","179","614","1006","0.129879","0.313581","0.077895","100","683","3213","0.072414","0.348743","0.248745"
"Georgia","2011","824731","1085263","6074730","25","127","270","0.029783","0.11663","0.044369","90","572","3068","0.108669","0.527262","0.505041","67","335","1279","0.081188","0.308577","0.210578","5","36","84","0.006383","0.03294","0.013836","42","38","6","0.056296","0.059765","0.001595","59","181","236","0.072017","0.166463","0.038805","103","283","391","0.125181","0.261192","0.064373","85","394","1640","0.102713","0.362777","0.270025"
"Hawaii","2011","97800","138119","887821","4","24","53","0.0437","0.177264","0.059592","12","79","480","0.124398","0.571228","0.541175","6","40","157","0.062527","0.288298","0.176777","1","6","12","0.00743","0.043818","0.013545","5","5","1","0.071013","0.081484","0.00313","9","25","51","0.096872","0.181542","0.056945","16","44","90","0.166047","0.31512","0.101418","8","47","173","0.08568","0.337854","0.195023"
"Idaho","2011","139014","173198","969335","5","25","56","0.035739","0.14497","0.057509","16","83","529","0.113132","0.477634","0.545624","11","51","213","0.078381","0.295501","0.220149","1","6","9","0.00692","0.034741","0.008871","7","6","1","0.053987","0.061527","0.001604","9","23","36","0.062064","0.130872","0.037652","18","42","63","0.129671","0.240183","0.065433","13","61","258","0.092477","0.352997","0.266009"
"Illinois","2011","1057464","1393927","8215103","37","214","516","0.035035","0.153247","0.062756","139","893","4877","0.13139","0.640817","0.593661","69","477","1832","0.065371","0.342457","0.222963","8","58","125","0.007413","0.041696","0.015213","53","54","9","0.056975","0.077633","0.001904","73","283","394","0.069398","0.202745","0.04791","134","451","631","0.127126","0.323393","0.07687","90","557","2169","0.084638","0.399352","0.264063"
"Indiana","2011","540292","729904","4108332","19","113","236","0.035822","0.155038","0.05737","61","451","2240","0.112758","0.618214","0.545268","46","268","1126","0.085968","0.366629","0.274109","4","25","38","0.007619","0.033871","0.009281","27","28","4","0.054914","0.075722","0.001709","34","123","177","0.062483","0.167842","0.043144","64","214","302","0.119258","0.292585","0.073561","59","326","1382","0.109324","0.44659","0.3365"
"Iowa","2011","241228","346249","1956812","8","56","123","0.034127","0.16276","0.062715","35","232","1169","0.145892","0.671099","0.597408","21","121","429","0.08769","0.350709","0.219064","2","11","16","0.006384","0.033118","0.008395","13","14","2","0.055788","0.072569","0.001334","16","58","81","0.066547","0.168444","0.041307","30","101","131","0.125205","0.292449","0.067163","25","147","506","0.105676","0.425306","0.258821"
